PCCB	LYPLA1
LYPLA1	APRT
APRT	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	MYC
MYC	RUNX1
APRT	HECW2
HECW2	KPNA1
KPNA1	RUNX1T1
LYPLA1	DPYSL2
DPYSL2	ARFIP1
ARFIP1	STAT3
STAT3	NFKB2
APP	MAPK7
MAPK7	ETS1
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	JUN
MAPK3	CREBBP
DPYSL2	LEF1
LEF1	EP300
APP	MCM7
MCM7	HIF1A
HECW2	ELAVL1
ELAVL1	ARNT
APP	AKAP13
AKAP13	PPARA
APP	RFX5
RFX5	PPARG
MAPK3	RXRA
AKAP13	RXRB
DPYSL2	CRMP1
CRMP1	CUL1
CUL1	RXRG
ASNS	PPP1CA
PPP1CA	CREB1
MAPK7	FOS
PPP1CA	YAP1
MAPK3	SP1
HLCS	SNX27
SNX27	INSR
INSR	SOCS3
SOCS3	NFKB1
SNX27	NTRK1
NTRK1	RELA
NTRK1	PML
PML	RUNX1
NTRK1	TCF12
TCF12	RUNX1T1
NTRK1	STAT3
NTRK1	MAPK7
PML	JUN
INSR	KHDRBS1
KHDRBS1	CREBBP
INSR	GRB2
GRB2	EP300
INSR	SHC1
SHC1	HIF1A
PML	ARNT
RELA	PPARA
INSR	STAT5A
STAT5A	PPARG
PML	RXRA
PPARG	RXRB
NTRK1	CUL1
NTRK1	ABL1
ABL1	CREB1
PML	FOS
PML	YAP1
PML	MYC
INSR	PRKCD
PRKCD	SP1
MCCC2	HMGCL
HMGCL	HES1
HES1	STAT3
STAT3	NFKB1
HMGCL	RNF126
RNF126	UBE2D2
UBE2D2	RELA
HES1	TLE1
TLE1	RUNX1
HMGCL	ARL6IP1
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	RUNX1T1
ARL6IP1	FBXW7
FBXW7	NFKB2
ARL6IP1	SENP2
SENP2	DAXX
DAXX	ETS1
RNF126	CDKN1A
CDKN1A	JUN
HES1	PARP1
PARP1	CREBBP
CDKN1A	EP300
STAT3	HIF1A
HES1	HSP90AA1
HSP90AA1	ARNT
HSP90AA1	PPARA
NCOR2	PPARG
NCOR2	RXRA
HMGCL	LSM12
LSM12	HSP82
HSP82	NR3C1
NR3C1	RXRB
NCOR2	RXRG
HES1	SIRT1
SIRT1	CREB1
HES1	RUNX2
RUNX2	FOS
FBXW7	YAP1
FBXW7	MYC
STAT3	SP1
PC	KPNA4
KPNA4	CUL4B
CUL4B	NFKB1
KPNA4	TP53
TP53	RELA
PC	CAD
CAD	SMARCA4
SMARCA4	RUNX1
KPNA4	KPNB1
KPNB1	RUNX1T1
KPNA4	DAXX
DAXX	TSG101
TSG101	NFKB2
PC	RPS3A
RPS3A	DDIT3
DDIT3	JUN
DAXX	CREBBP
TP53	EP300
TP53	HIF1A
RPS3A	HSP90AA1
PC	COPB1
COPB1	XRCC6
XRCC6	PPARG
KPNA4	APP
GSK3B	RXRA
TP53	NR4A1
NR4A1	RXRG
DAXX	CREB1
PC	MDH2
MDH2	UBE2L3
UBE2L3	FOS
UBE2L3	YAP1
TP53	SP1
PCCA	PCCB
ACACA	BRCA1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
EP300	RUNX1
BRCA1	HDAC2
HDAC2	RUNX1T1
RELA	NFKB2
BRCA1	ETS1
BRCA1	JUN
BRCA1	CREBBP
BRCA1	HIF1A
BRCA1	ARNT
BRCA1	UBE2I
UBE2I	PPARA
EP300	PPARG
EP300	RXRA
EP300	NR3C1
BRCA1	RPAP2
RPAP2	RXRG
BRCA1	CREB1
EP300	FOS
BRCA1	SMAD3
SMAD3	YAP1
BRCA1	MYC
BRCA1	SP1
RUNX1	JUP
RUNX1T1	JUP
NFKB1	BIRC2
RELA	BIRC2
CREBBP	ALDOA
CREBBP	TFRC
CREBBP	VEGFA
EP300	ALDOA
EP300	TFRC
EP300	VEGFA
HIF1A	ALDOA
HIF1A	TFRC
HIF1A	VEGFA
ARNT	ALDOA
ARNT	TFRC
ARNT	VEGFA
YAP1	FGF1
YAP1	BIRC2
NFKB2	CXCL12
NFKB1	VEGFA
RELA	VEGFA
ETS1	VEGFA
FOS	VEGFA
JUN	VEGFA
MYC	VEGFA
NFKB2	BIRC2
PPARA	NR1H3
PPARG	NR1H3
RXRA	NR1H3
RXRB	NR1H3
RXRG	NR1H3
NFKB1	CEBPB
RELA	CEBPB
JUN	ALDOA
SP1	ALDOA
ETS1	CD79B
ETS1	CSNK2B
MYC	CSTB
CREB1	ERBB2
FOS	NQO1
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
