PDE4B	MAGEA11
MAGEA11	EP300
EP300	RXRA
MAGEA11	NR3C1
NR3C1	RXRB
EP300	PPARG
PPARG	RXRG
EP300	JUN
EP300	NFKB1
EP300	RELA
EP300	STAT3
PDE4A	SQSTM1
SQSTM1	MAPK1
MAPK1	RXRA
SQSTM1	RARA
RARA	RXRB
SQSTM1	CUL1
CUL1	RXRG
MAPK1	JUN
MAPK1	PPARG
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
SQSTM1	NTRK1
NTRK1	STAT3
PDE4C	SRI
SRI	STAT3
STAT3	PML
PML	RXRA
PML	PPARG
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
STAT3	JUN
STAT3	NFKB1
STAT3	RELA
PDE4D	APP
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
PDE4D	MDM2
MDM2	CUL1
MDM2	JUN
APP	RFX5
RFX5	PPARG
GSK3B	NFKB1
MDM2	RELA
APP	MAPK8
MAPK8	STAT3
ADORA1	GNAI2
GNAI2	TRIP6
TRIP6	SRC
SRC	RXRA
GNAI2	MDFI
MDFI	NR1H2
NR1H2	RXRB
TRIP6	AJUBA
AJUBA	RXRG
GNAI2	ITCH
ITCH	JUN
GNAI2	GNAI3
GNAI3	XPO1
XPO1	PPARG
ITCH	TP63
TP63	NFKB1
GNAI2	NPM1
NPM1	RELA
ADORA1	SNF8
SNF8	NIF3L1
NIF3L1	STAT3
ADORA2A	DRD2
DRD2	FLNA
FLNA	LMNA
LMNA	PML
FLNA	RANBP2
RANBP2	AKAP13
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
FLNA	RBM39
RBM39	JUN
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
FLNA	REL
REL	NFKB1
REL	RELA
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
JUN	CDK5
JUN	CXCL1
NFKB1	CXCL1
RELA	CXCL1
JUN	CCND3
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
STAT3	CCND3
NFKB1	TRAF1
RELA	TRAF1
PPARG	ADIPOQ
RXRA	ILK
RXRA	ADIPOQ
RXRB	ILK
RXRB	ADIPOQ
RXRG	ILK
RXRG	ADIPOQ
JUN	PDHA1
NFKB1	PPP2R4
