SCN5A	NEDD4
NEDD4	CUL5
CUL5	NFKB1
NEDD4	NTRK1
NTRK1	RELA
NEDD4	SMAD3
SMAD3	SP1
NEDD4	PPARG
PPARG	TFAP2A
CHRM1	GPRASP2
GPRASP2	TXN
TXN	NFKB1
GPRASP2	AGO1
AGO1	RELA
NFKB1	SP1
TXN	TP53
TP53	TFAP2A
CHRM2	SET
SET	NR3C1
NR3C1	NFKB1
SET	CCNB1
CCNB1	RELA
SET	TP53
TP53	SP1
CHRM3	SET
KCND2	FLNC
FLNC	IKBKB
IKBKB	NFKB1
IKBKB	RELA
FLNC	MAP2K4
MAP2K4	PML
PML	SP1
FLNC	MYOZ1
MYOZ1	BRCA1
BRCA1	TFAP2A
KCND3	HSPA5
HSPA5	EP300
EP300	NFKB1
KCND3	HSPA8
HSPA8	RELA
KCND3	CDK1
CDK1	SP1
EP300	TFAP2A
NFKB1	FIGF
RELA	FIGF
NFKB1	CEBPB
RELA	CEBPB
SP1	KRT5
TFAP2A	KRT5
SP1	MAT2B
