ADORA1	GNAI2
GNAI2	ITCH
ITCH	SMAD3
SMAD3	SP1
GNAI2	RGS20
RGS20	FAF2
FAF2	HIF1A
ADORA2A	DRD2
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
PDE4B	MAGEA11
MAGEA11	EP300
EP300	SP1
EP300	HIF1A
RYR1	FKBP1A
FKBP1A	CTBP1
CTBP1	SP1
FKBP1A	APP
APP	MCM7
MCM7	HIF1A
PDE1A	APP
APP	MAPK8
MAPK8	SP1
PDE4A	SQSTM1
SQSTM1	MAPK1
MAPK1	SP1
SQSTM1	HIF1A
PDE4C	SRI
SRI	STAT3
STAT3	SP1
STAT3	HIF1A
PDE4D	APP
PDE4D	GNB2L1
GNB2L1	HIF1A
PDE3A	GANAB
GANAB	MAPK8
PDE3A	MMS19
MMS19	ESR1
ESR1	HIF1A
PDE9A	SULT1E1
SULT1E1	TP53
TP53	SP1
TP53	HIF1A
PRKDC	SP1
PRKDC	BRCA1
BRCA1	HIF1A
PIK3CD	PIK3R1
PIK3R1	EP300
PIK3CD	PIK3R2
PIK3R2	SHC1
SHC1	HIF1A
PIK3CA	SMAD3
SMAD3	HIF1A
PIK3CB	PRKCD
PRKCD	SP1
PIK3CB	CBL
CBL	CTNNB1
CTNNB1	HIF1A
ITPR1	BRCA1
BRCA1	SP1
ITPR3	CAV1
CAV1	CTNNB1
CTNNB1	SP1
ATM	BRCA1
ATM	HIF1A
HIF1A	FLT1
SP1	APEX1
HIF1A	ITGB2
SP1	KRT18
