SLC22A6	APP
APP	C9orf41
C9orf41	NR3C2
APP	MAPK8
MAPK8	SP1
APP	PHF8
PHF8	RARA
MAPK8	CEBPA
CEBPA	RARB
MAPK8	NCOA3
NCOA3	RARG
APP	KAT5
KAT5	CREB1
MAPK8	TP53
APP	EEF1D
EEF1D	HCFC1
HCFC1	CREB3
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	CREB3L2
APP	CUL3
CUL3	PGRMC1
PGRMC1	CREB3L1
EEF1D	RELA
RELA	EGR1
MAPK8	ATF2
HCFC1	E2F4
CUL3	NXF1
NXF1	ATF6B
PSEN2	APH1A
APH1A	ATF4
MAPK8	TRAF2
TRAF2	CREB5
RELA	USF2
APP	GSK3B
GSK3B	NFKB1
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
KAT5	BRCA1
APP	MAPK7
MAPK7	ETS1
APP	MYC
MYC	FOXO3
APP	STUB1
STUB1	FOXO1
MAPK8	JUN
PANX1	GNAS
GNAS	SHMT2
SHMT2	CAND1
CAND1	NR3C2
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	RUVBL1
RUVBL1	RARA
C1QBP	CEBPA
C1QBP	MRPL12
MRPL12	RARG
RUVBL1	CREBBP
CREBBP	CREB1
GNAS	AXIN1
AXIN1	TP53
SHMT2	CREB3
RUVBL1	ELAVL1
CEBPA	Fbxw7
Fbxw7	CREB3L1
CREBBP	EGR1
CREBBP	ATF2
CEBPA	E2F4
SHMT2	NFYA
NFYA	ATF6B
SHMT2	ATF4
GNAS	GNG5
GNG5	MDFI
MDFI	CREB5
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
C1QBP	NFKBIE
NFKBIE	NFKB1
RUVBL1	UBE2I
UBE2I	RXRA
RARA	RXRB
RARA	RXRG
GNAS	NUCB1
NUCB1	RAD23B
RAD23B	BRCA1
CREBBP	ETS1
RUVBL1	CTNNB1
CTNNB1	FOXO3
C1QBP	LRPPRC
LRPPRC	FOXO1
C1QBP	PRKD1
PRKD1	JUN
NR3C2	ATP1A2
NR3C2	ATP1B2
NR3C2	SGK1
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
FOXO1	PCK2
TP53	THBS1
FOXO3	PCK2
RXRA	FABP1
RXRA	PCK2
RXRB	FABP1
RXRB	PCK2
RXRG	FABP1
RXRG	PCK2
CREB1	BRCA1
USF2	BRCA1
USF2	CCNB1
EGR1	CD44
SP1	CD44
NFKB1	F8
CEBPA	ITGA2
SP1	ITGA2
SP1	KRT18
ETS1	MMP3
JUN	MMP3
NFKB1	MMP3
CEBPA	PCK2
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
RARA	S100A8
RARB	S100A8
RARG	S100A8
EGR1	THBS1
USF2	THBS1
