GABRB2	TRAK2
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
ZCCHC10	PIN1
PIN1	JUN
ZCCHC10	SNIP1
SNIP1	SMAD4
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	TEAD4
TEAD4	TEAD1
BEND7	C1QBP
C1QBP	PHB2
PHB2	TEAD3
TP53	SMAD2
TP53	SMAD3
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	WWTR1
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
TP53	RELA
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	PPARA
TIFA	IRAK1
IRAK1	HSP90AA1
PIN1	PPARG
TP53	ESR1
UBE2I	RXRA
SDCBP2	C1orf35
C1orf35	APP
IRAK1	CUL1
CUL1	RXRG
TP53	CREB1
C1QBP	CEBPA
TRAF6	STAT3
SDCBP2	PRPF38A
PRPF38A	CSNK2B
TRAF6	NTRK1
NTRK1	STAT5B
PRPF40A	PIAS1
PIAS1	FLI1
TP53	EP300
IRAK1	STAT1
GABRA4	APP
APP	MAPK8
MAPK8	SP1
APP	TAF6
TAF6	YAP1
MAPK8	JUN
APP	CSNK1D
CSNK1D	SMAD4
APP	HGS
HGS	INSR
APP	MCM7
MCM7	TRIM27
APP	KAT5
CSNK1D	SMAD2
APP	GSK3B
APP	YWHAG
APP	EEF1D
EEF1D	RELA
AKAP13	PPARA
MAPK8	TP53
MAPK8	CTNNB1
APP	RFX5
RFX5	PPARG
APP	DDX54
DDX54	ESR1
APP	PHF8
PHF8	RARA
MAPK8	NR4A1
NR4A1	RXRG
KAT5	CREB1
MCM7	HIF1A
MAPK8	CEBPA
APP	MAPK7
MAPK7	ETS1
HGS	TSG101
TSG101	NFKB2
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
APP	ELK1
ELK1	FLI1
MAPK8	STAT3
APP	HDAC4
HDAC4	STAT1
GABRB1	NOD1
NOD1	HSP90AA1
HSP90AA1	SP1
NOD1	UBC
UBC	ABL1
ABL1	YAP1
NOD1	CASP9
CASP9	JUN
UBC	FHL2
FHL2	SMAD4
NOD1	RNF34
RNF34	TP53
TP53	NCOA1
NCOA1	TEAD1
UBC	TRIM27
UBC	E2F1
NOD1	CFLAR
CFLAR	SMAD3
UBC	BTRC
NOD1	COPS6
COPS6	NFKB1
UBC	SFPQ
HSP90AA1	ESR1
E2F1	RARA
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
UBC	CUL1
NOD1	PSMA7
PSMA7	HIF1A
UBC	C1QBP
UBC	TSG101
HSP90AA1	MYC
UBC	BRCA1
BRCA1	STAT5A
UBC	HAX1
HAX1	STAT5B
BRCA1	USF2
HSP90AA1	STAT3
BRCA1	STAT1
GABRD	UBQLN1
UBQLN1	APP
UBQLN1	UBQLN2
UBQLN2	YAP1
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	HGS
UBQLN1	UBC
HCVgp1	SMAD3
UBQLN1	RAD23A
RAD23A	TP53
UBQLN1	VCP
VCP	HSP90AA1
UBQLN1	UBE3A
UBE3A	ESR1
UBE3A	RARA
UBQLN1	UBQLN4
UBQLN4	RXRA
RARA	RXRG
UBQLN1	ATXN3
ATXN3	CREB1
UBQLN1	RAD23B
RAD23B	HIF1A
UBE3A	CEBPA
VCP	NFKB2
RAD23A	CREBBP
CREBBP	EGR1
RAD23B	BRCA1
UBQLN1	MTOR
MTOR	STAT3
MTOR	STAT1
GABRE	CUX1
CUX1	CCNA1
CCNA1	SP1
GABRE	FAM189B
FAM189B	YAP1
GABRE	HLA-A
HLA-A	STAT3
FAM189B	WWP1
WWP1	SMAD4
GABRE	BSCL2
BSCL2	ZDHHC17
ZDHHC17	TEAD1
ZDHHC17	GOLGA2
GABRE	GPAA1
GPAA1	PIN1
PIN1	SMAD2
PIN1	SMAD3
GABRE	GP1BB
GP1BB	YWHAZ
CUX1	SATB1
SATB1	UBE2I
CUX1	EHMT2
EHMT2	TP53
CUX1	TLE4
TLE4	HDAC1
CUX1	CDK7
CDK7	ESR1
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
CUX1	RECQL5
RECQL5	CREB1
CUX1	BIN1
BIN1	MYC
MYC	CEBPA
SATB1	EP300
BSCL2	POM121C
CCNA1	PGR
PGR	STAT5B
SATB1	PIAS1
GABRE	ALG9
ALG9	RTF1
RTF1	STAT1
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
GABARAP	TAX1BP1
TAX1BP1	RAD18
RAD18	YAP1
TAX1BP1	ITCH
ITCH	JUN
SMAD3	SMAD4
GABARAP	DVL2
DVL2	WWTR1
WWTR1	TEAD1
TAX1BP1	IKBKE
IKBKE	TRIM27
WWTR1	TEAD3
NEDD4	SMAD2
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
GABARAP	ATG7
ATG7	SIRT1
SIRT1	PPARA
DVL2	TP53
DVL2	CTNNB1
NEDD4	PPARG
GABARAP	NCOA7
NCOA7	ESR1
GABARAP	SQSTM1
SQSTM1	RARA
NEDD4	SRC
SRC	RXRA
PPARG	RXRB
NEDD4	AKT1
AKT1	CREB1
SQSTM1	HIF1A
SMAD3	CEBPA
ATG7	EP300
TAX1BP1	TNFAIP3
TNFAIP3	NFKB2
NEDD4	ERBB3
ERBB3	EGR1
NEDD4	YY1
YY1	MYC
SQSTM1	STAT5A
NEDD4	EGFR
SQSTM1	PRKCD
GABARAP	TBC1D15
TBC1D15	STAT3
ATG7	STAT1
TP53	GADD45G
TP53	GADD45B
JUN	CCND2
HIF1A	SERPINE1
YAP1	CTGF
YAP1	ID2
YAP1	SERPINE1
YAP1	CCND2
WWTR1	CTGF
WWTR1	SERPINE1
SMAD2	CTGF
SMAD2	SERPINE1
SMAD3	CTGF
SMAD3	SERPINE1
SMAD4	CTGF
SMAD4	ID2
SMAD4	SERPINE1
TEAD1	CTGF
TEAD1	CCND2
TEAD4	CTGF
TEAD4	CCND2
TEAD3	CTGF
TEAD3	CCND2
STAT1	CCND2
STAT3	CCND2
STAT5A	CCND2
STAT5B	CCND2
NFKB1	GADD45B
RELA	GADD45B
TP53	SERPINE1
NFKB1	TRAF6
NFKB2	TRAF6
RELA	TRAF6
PPARA	EHHADH
PPARA	ACOX2
PPARD	FABP3
PPARD	ACOX2
PPARG	PCK1
RXRA	EHHADH
RXRA	FABP3
RXRA	PCK1
RXRA	ACOX2
RXRB	EHHADH
RXRB	FABP3
RXRB	PCK1
RXRB	ACOX2
RXRG	EHHADH
RXRG	FABP3
RXRG	PCK1
RXRG	ACOX2
NFKB1	IL18
RELA	IL18
CREB1	CD55
NFKB1	REL
SP1	REL
TP53	HSP90AB1
CEBPA	ABCB1
EGR1	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
CREB1	ADRB2
SP1	CTGF
MYC	DDX18
ESR1	GADD45B
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
RARA	GADD45B
JUN	GJA1
SP1	GJA1
MYC	ID2
FLI1	ID2
ETS1	MMP3
FLI1	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
CEBPA	NFYB
TP53	PRKAB1
EGR1	SERPINE1
ESR1	SERPINE1
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
USF2	SERPINE1
