ADRB1	ARRB2
ARRB2	IGF1R
IGF1R	TP53
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	MAPK1
MAPK1	SP1
ARRB2	AKT1
AKT1	RARA
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	RPA1
RPA1	CCNH
CCNH	RARB
ARRB2	C1QBP
C1QBP	MRPL12
MRPL12	RARG
ARRB2	PRMT5
PRMT5	RELA
ARRB2	CAPN1
CAPN1	STAT3
MAPK1	CEBPB
ARRB2	FLNA
FLNA	REL
CAPN1	HIF1A
ADRB2	TSG101
TSG101	TP53
ADRB2	VHL
VHL	MYC
ADRB2	STAT3
STAT3	SP1
STAT3	PML
PML	RARA
STAT3	NFKB1
STAT3	NCOA1
NCOA1	RARB
ADRB2	MRPL12
STAT3	RELA
ADRB2	HNRNPK
HNRNPK	CEBPB
ADRB2	REL
STAT3	HIF1A
NFKB1	CEBPB
RELA	CEBPB
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
HIF1A	ITGB2
SP1	KRT18
MYC	NME1
TP53	NME1
RARA	S100A8
RARB	S100A8
RARG	S100A8
