PDE4A	SQSTM1
SQSTM1	NCOR1
NCOR1	ETS1
SQSTM1	MAPK1
MAPK1	JUN
SQSTM1	BCL2
BCL2	ITLN1
ITLN1	SP3
SQSTM1	PRKCD
PRKCD	FLI1
SQSTM1	CUL3
CUL3	NFKB1
MAPK1	ESR1
BCL2	HSP90AA1
HSP90AA1	NFIC
MAPK1	SMAD3
SQSTM1	CAV1
CAV1	SMAD2
SQSTM1	HSPA4
HSPA4	ERG
MAPK1	SP1
SQSTM1	ISG15
ISG15	SMAD4
SQSTM1	BAG3
BAG3	TFAP2A
SQSTM1	YWHAZ
YWHAZ	NFATC4
NFATC4	CEBPA
BCL2	MYC
MAPK1	CREBBP
MAPK1	EP300
SQSTM1	HIF1A
HIF1A	ARNT
NCOR1	PPARA
SQSTM1	PRKCZ
PRKCZ	RELA
YWHAZ	TP53
MAPK1	RXRA
SQSTM1	RARA
RARA	RXRB
SQSTM1	CUL1
CUL1	RXRG
SQSTM1	MAPK14
MAPK14	CREB1
MAPK1	PPARG
NCOR1	ETS2
PDE4B	MAGEA11
MAGEA11	EP300
EP300	ETS1
EP300	JUN
EP300	SP3
EP300	BRCA1
BRCA1	FLI1
EP300	NFKB1
EP300	ESR1
PDE4B	PAFAH1B1
PAFAH1B1	HSP90AA1
EP300	SMAD3
EP300	SMAD2
EP300	ETS2
ETS2	ERG
EP300	SP1
EP300	SMAD4
EP300	TFAP2A
MAGEA11	MTA1
MTA1	CEBPA
EP300	MYC
EP300	CREBBP
EP300	HIF1A
EP300	ARNT
PDE4B	RCBTB2
RCBTB2	UBE2I
UBE2I	PPARA
EP300	RELA
EP300	TP53
EP300	RXRA
MAGEA11	NR3C1
NR3C1	RXRB
EP300	PPARG
PPARG	RXRG
EP300	CREB1
PDE4C	SRI
SRI	STAT3
STAT3	EP300
STAT3	JUN
STAT3	PML
PML	PIAS2
PIAS2	FLI1
STAT3	NFKB1
SRI	SOD1
SOD1	RFX1
RFX1	NFIC
SRI	TCF12
TCF12	SMAD3
TCF12	SMAD2
JUN	ERG
STAT3	SP1
STAT3	CDKN1A
CDKN1A	CEBPA
PML	MYC
TCF12	CREBBP
STAT3	HIF1A
PML	ARNT
STAT3	RELA
RELA	PPARA
SRI	ANXA7
ANXA7	TP53
PML	RXRA
PML	PPARG
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
PDE4D	APP
