DRD2	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
MAPK1	CREB1
MAPK1	CREB3
MAPK1	ATF2
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	MYC
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
GNAI1	MAPK14
MAPK14	MAX
SMAD2	SP1
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
DRD1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
HRAS	MAPK14
HRAS	PIK3R5
CALM1	HRAS
CALM1	CAMK2A
CAMK2A	CREB1
CAMK2A	CREB3
CAMK2A	ATF2
CAMK2A	ATF6B
CAMK2A	ATF4
CAMK2A	CREB3L2
CAMK2A	CREB3L1
CAMK2A	CREB5
CAMK2A	CREBBP
CREBBP	SP1
CREBBP	RXRA
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB3	MITF
PIK3R1	AKT1
PIK3R1	PDPK1
PIK3R2	AKT3
RXRA	ACADL
NFKB1	IL23A
MAPK9	TNF
MAPK10	IL6
MAPK10	IL12B
SP1	CDK1
EGR1	CD44
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
SP3	CTSL
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
