TUBB1	SNCA
SNCA	MEF2D
MEF2D	HDAC3
HDAC3	E2F4
SNCA	MAPK8
MAPK8	SP1
SNCA	CLTC
CLTC	EP300
EP300	ETS2
SNCA	APP
APP	KAT5
KAT5	MYB
MAPK8	CEBPA
SNCA	AKT1
AKT1	CREB1
SNCA	UBC
UBC	E2F1
SNCA	PTK2
PTK2	TP53
SNCA	MAPK1
MAPK1	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
PTK2	STAT1
MAPK8	JUN
MAPK1	PPARG
AKT1	CREBBP
MAPK1	HIF1A
EP300	ARNT
SNCA	HSPA8
HSPA8	POU2F1
BCL2	BRCA1
BRCA1	E2F4
BRCA1	SP1
BCL2	TP53
TP53	ETS2
BRCA1	EP300
EP300	MYB
BCL2	MYC
MYC	CEBPA
BRCA1	CREB1
BRCA1	E2F1
BCL2	SMN1
SMN1	RXRA
TP53	NR3C1
NR3C1	RXRB
BCL2	NR4A1
BRCA1	STAT1
BRCA1	JUN
BCL2	PIN1
PIN1	PPARG
BRCA1	CREBBP
BCL2	HIF1A
BRCA1	ARNT
BRCA1	POU2F1
MAP2	NEDD4
NEDD4	SMAD3
SMAD3	E2F4
MAP2	PSMC5
PSMC5	SP1
PSMC5	TP53
MAP2	APP
APP	MAPK8
KAT5	CREB1
KAT5	E2F1
APP	GSK3B
GSK3B	RXRA
NEDD4	PPARG
PPARG	RXRG
APP	HDAC4
HDAC4	STAT1
APP	CDC20
CDC20	CREBBP
MAP2	ACTB
ACTB	EP300
APP	MCM7
MCM7	HIF1A
SP1	ARNT
APP	HSPA8
MAP4	LSM3
LSM3	LSM1
LSM1	RBL2
RBL2	E2F4
MAP4	SERBP1
SERBP1	TP53
TP53	SP1
SERBP1	CHD3
CHD3	MYB
LSM3	LSM5
LSM5	UBE3A
UBE3A	CEBPA
SERBP1	DAXX
DAXX	CREB1
MAP4	RPS20
RPS20	MDM2
MDM2	E2F1
LSM3	MED1
MED1	RXRA
MED1	NR3C1
LSM3	YBX1
YBX1	CUL1
CUL1	RXRG
LSM3	RTF1
RTF1	STAT1
SERBP1	PIAS1
PIAS1	JUN
MED1	PPARG
DAXX	CREBBP
TP53	EP300
TP53	HIF1A
LSM1	HSP90AA1
HSP90AA1	ARNT
LSM3	EEF1A1
EEF1A1	HSPA8
MAPT	YWHAZ
YWHAZ	ENO1
ENO1	E2F4
MAPT	SYK
SYK	SP1
YWHAZ	TP53
MAPT	YWHAQ
YWHAQ	TRIM28
TRIM28	MYB
YWHAZ	NFATC4
NFATC4	CEBPA
MAPT	ABL1
ABL1	CREB1
YWHAQ	E2F1
MAPT	GSK3B
MAPT	BAG1
BAG1	NR3C1
YWHAZ	AJUBA
AJUBA	RXRG
YWHAZ	HDAC4
ABL1	JUN
YWHAZ	CTNNB1
CTNNB1	PPARG
CTNNB1	CREBBP
CTNNB1	EP300
MAPT	SQSTM1
SQSTM1	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
MAPT	HSPA8
NR1I2	NCOR2
NCOR2	E2F4
NR1I2	RXRA
RXRA	SP1
NR1I2	NCOA3
NCOA3	ETS2
NR1I2	NCOR1
NCOR1	MYB
NCOA3	CEBPA
NCOR1	CREB1
NCOA3	E2F1
NR1I2	PSMC5
NR1I2	RXRB
NR1I2	RXRG
RXRA	STAT1
NCOR2	JUN
RXRA	PPARG
NCOA3	CREBBP
RXRA	EP300
EP300	HIF1A
NR1I2	NCOA1
NCOR2	POU2F1
CREB1	PDYN
JUN	CDK5
CREBBP	ENO3
EP300	ENO3
HIF1A	ENO3
ARNT	ENO3
TP53	RRM2
TP53	TSC2
TP53	CCNG2
TP53	TP53I3
PPARG	NR1H3
PPARG	GK
RXRA	NR1H3
RXRA	GK
RXRB	NR1H3
RXRB	GK
RXRG	NR1H3
RXRG	GK
STAT1	CXCL10
STAT1	CXCL9
CREB1	HLA-DRB4
MYB	CDK1
SP1	CDK1
TP53	APAF1
CEBPA	ADH7
POU2F1	AKR1C2
POU2F1	AKR1C3
E2F1	APAF1
E2F4	CDC45
E2F1	CDC45
E2F4	CDC6
E2F4	CDK1
ETS2	CDK1
E2F4	DHFR
SP1	GYPC
CEBPA	ITGA2
SP1	ITGA2
