CA1	TFCP2
TFCP2	HDAC2
HDAC2	SP1
TFCP2	SUMO1
SUMO1	PML
PML	JUN
SUMO1	TP53
SUMO1	DAXX
DAXX	ETS1
TP53	TFAP2A
PML	FOS
TFCP2	HDAC1
HDAC1	PPARG
PML	RXRA
HDAC2	RARA
RARA	RXRB
SUMO1	NR1H4
NR1H4	RXRG
TFCP2	BAG6
BAG6	CDKN1A
CDKN1A	CEBPA
HDAC2	MYC
HDAC1	SPI1
SUMO1	UBE2I
UBE2I	PPARA
HDAC1	CREB1
HDAC2	GLI1
HDAC1	GLI2
HDAC1	GLI3
HDAC2	CREBBP
HDAC1	EP300
HDAC2	HIF1A
PML	ARNT
MYC	FOXO3
SUMO1	TP63
TP63	ETV4
SUMO1	PIAS4
PIAS4	IRF7
BAG6	CD93
CD93	MYD88
HDAC2	PPARD
HDAC2	HSPA4
HSPA4	ERG
HDAC1	POU2F1
HDAC1	NFKB1
HDAC2	TWIST1
TWIST1	HOXA5
SUMO1	PIAS2
PIAS2	FLI1
TFCP2	CASP8
CASP8	MAPK1
PML	MAPK3
HDAC2	RELA
SUMO1	MCM3
MCM3	EPAS1
TFCP2	CDC73
CDC73	HSP90AA1
HSP90AA1	NFIC
DAXX	SMAD4
CREBBP	ATF1
TP53	NFYA
TP53	NFYB
HDAC1	TBP
TBP	NFYC
TFCP2	APBB1
APBB1	APP
APP	RFX5
TFCP2	EAF1
EAF1	MLLT1
MLLT1	RFXAP
HDAC2	CIITA
CIITA	RFXANK
CREBBP	HNF1A
CDC73	NPL3
NPL3	PDX1
HSP90AA1	NR3C2
RARA	ARNTL
SUMO1	TRAF4
TRAF4	NPAS2
RARA	CLOCK
HDAC1	E2F4
PIAS4	SMAD3
HDAC1	TLE1
TLE1	FOXA2
PIAS4	IRF3
SUMO1	PARK2
PARK2	MEOX2
MEOX2	PAX1
HDAC1	NR3C1
NR3C1	POU2F2
RELA	USF2
HDAC2	ESR1
HDAC2	SP3
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	SP1
CA2	NONO
NONO	HDAC3
HDAC3	JUN
CDKN2A	TP53
NONO	SPI1
SPI1	ETS1
CDKN2A	BRCA1
BRCA1	TFAP2A
SPI1	FOS
NONO	SFPQ
SFPQ	PPARG
NONO	TRIM24
TRIM24	RXRA
NONO	SMARCA4
SMARCA4	NR3C1
NR3C1	RXRB
TRIM24	RARA
RARA	RXRG
CDKN2A	C1QBP
C1QBP	CEBPA
CDKN2A	MYC
CDKN2A	HSP90AA1
HSP90AA1	PPARA
NONO	PPP1CA
PPP1CA	CREB1
NONO	HDAC2
NONO	HDAC1
SMARCA4	CREBBP
NONO	CTTN
CTTN	EP300
CDKN2A	HIF1A
BRCA1	ARNT
SLC4A1	CLU
CLU	CHUK
CHUK	FOXO3
CDKN2A	TP63
CA2	HSPD1
HSPD1	ALK
ALK	IRF7
CDKN2A	MDM2
MDM2	MYD88
HSPD1	HSPA8
HSPA8	ERG
HDAC3	NFKB1
NONO	PTBP1
PTBP1	RBFOX2
RBFOX2	HOXA5
BRCA1	FLI1
SFPQ	MAPK1
BRCA1	MAPK3
HDAC3	RELA
CLU	VHL
VHL	EPAS1
CA2	SLC9A1
SLC9A1	DAXX
SPI1	ATF1
BRCA1	NFYA
HSPD1	GAPDH
GAPDH	NFYC
HSPD1	APP
CDKN2A	NCL
NCL	RFXAP
SMARCA4	CIITA
HSPD1	GID8
GID8	PDX1
TRIM24	NR3C2
PPP1CA	ARNTL
HSP90AA1	NPAS2
PPP1CA	CLOCK
HDAC3	E2F4
SMARCA4	SMAD3
SMARCA4	NCOA1
NCOA1	FOXA2
HDAC3	IRF3
HSPD1	HSPA2
HSPA2	MEOX2
CLU	XRCC6
XRCC6	POU2F2
BRCA1	USF2
SMARCA4	ESR1
SFPQ	SP3
NONO	SMARCD1
SMARCD1	NR1H4
CA4	PIH1D1
PIH1D1	POLR2L
POLR2L	ESR1
ESR1	SP1
PIH1D1	KMT2A
KMT2A	CREBBP
CREBBP	JUN
PIH1D1	PPP1CA
PPP1CA	TP53
CREBBP	ETS1
PPP1CA	BRCA1
PIH1D1	POLR2E
POLR2E	FOS
CREBBP	PPARG
POLR2L	SRC
SRC	RXRA
PIH1D1	RUVBL1
RUVBL1	RARA
PIH1D1	RPAP2
RPAP2	RXRG
PPP1CA	CDK4
CDK4	CEBPA
CA4	PRDX2
PRDX2	APP
APP	MYC
KMT2A	HDAC1
PPP1CA	NCOR1
NCOR1	PPARA
HDAC1	GLI1
CREBBP	GLI3
PIH1D1	POLR2A
POLR2A	EP300
ESR1	HIF1A
PRDX2	YWHAZ
YWHAZ	FOXO3
YWHAZ	RFWD2
RFWD2	ETV4
TP53	IRF7
POLR2E	IKBKG
IKBKG	MYD88
HDAC1	PPARD
PPP1CA	HSPA8
KMT2A	HCFC1
HCFC1	POU2F1
POLR2L	REL
REL	NFKB1
RUVBL1	ELAVL1
ELAVL1	HOXA5
ESR1	MAPK1
POLR2A	RELA
PIH1D1	UXT
UXT	VHL
ELAVL1	NFIC
KMT2A	SKP2
SKP2	SMAD4
PIH1D1	TTI1
TTI1	ATF1
CREBBP	NFYB
PPP1CA	CDK2
CDK2	NFYC
KMT2A	NCL
PIH1D1	PPP1CC
PPP1CC	RAF1
RAF1	RFXANK
PPP1CA	PCIF1
PCIF1	PDX1
APP	C9orf41
C9orf41	NR3C2
ARNTL	NPAS2
HCFC1	E2F4
CREBBP	SMAD3
APP	OTX2
OTX2	FOXA2
POLR2A	IRF3
PPP1CA	KDM5B
KDM5B	MEOX2
PIH1D1	RUVBL2
RUVBL2	TBP
TBP	POU2F2
ESR1	SP3
NCOR1	NR1H4
CA9	CTNNB1
CTNNB1	SP1
CTNNB1	EP300
EP300	JUN
CA9	G3BP2
G3BP2	TP53
EP300	ETS1
EP300	TFAP2A
EP300	FOS
CTNNB1	PPARG
EP300	RXRA
PPARG	RXRB
PPARG	RXRG
CTNNB1	MAPK8
MAPK8	CEBPA
CA9	KPNA2
KPNA2	MYC
MAPK8	SPI1
CTNNB1	SIRT1
SIRT1	PPARA
EP300	CREB1
CTNNB1	HDAC1
CTNNB1	CREBBP
CTNNB1	HIF1A
EP300	ARNT
CTNNB1	FOXO3
EP300	TP63
KPNA2	TANK
TANK	IRF7
CTNNB1	HDAC6
HDAC6	MYD88
CTNNB1	PPARD
CTNNB1	HSPA8
CTNNB1	BRCA1
BRCA1	POU2F1
EP300	NFKB1
CTNNB1	SOX2
SOX2	HOXA5
EP300	MAPK1
KPNA2	RELA
EP300	EPAS1
CTNNB1	SMURF1
SMURF1	NFIC
EP300	SMAD4
BRCA1	ATF1
EP300	NFYB
CTNNB1	CDK2
CTNNB1	APP
CA9	CAND1
CAND1	NCL
CTNNB1	HDAC4
HDAC4	RFXANK
EP300	HNF1A
CA9	CDH1
CDH1	CMR1
CMR1	PDX1
CAND1	NR3C2
EP300	ARNTL
EP300	NPAS2
EP300	CLOCK
CA9	XPO1
XPO1	E2F4
EP300	SMAD3
EP300	IRF3
CTNNB1	IKBKB
IKBKB	MEOX2
CAND1	XRCC6
EP300	USF2
CTNNB1	ESR1
EP300	SP3
EP300	NR1H4
ATP1A1	PHB
PHB	RB1
RB1	SP1
ATP1A1	CCT7
CCT7	CEBPE
CEBPE	JUN
PHB	TP53
TP53	ETS1
RB1	TFAP2A
CEBPE	FOS
RB1	PPARG
ATP1A1	VDAC1
VDAC1	CLTC
CLTC	EP300
ATP1A1	RPN1
RPN1	SGTA
SGTA	NR3C1
CCT7	TRIM28
TRIM28	NR4A1
NR4A1	RXRG
CCT7	KAT5
KAT5	CEBPA
CCT7	APP
RPN1	ARF1
ARF1	SPI1
VDAC1	PHB2
PHB2	NCOR1
KAT5	CREB1
PHB	HDAC1
TRIM28	CREBBP
RPN1	OS9
OS9	HIF1A
RB1	ARNT
PHB	YWHAZ
RPN1	SSA1
SSA1	UBA2
UBA2	ETV4
TRIM28	IRF7
VDAC1	BCL2L11
BCL2L11	CISH
CISH	MYD88
ATP1A1	CAD
CAD	HSPA8
CEBPE	POU2F1
RPN1	RPS3
RPS3	NFKB1
VDAC1	APOE
APOE	ELAVL1
PHB	PRKCD
PRKCD	FLI1
PHB	ESR1
RPN1	UBA1
UBA1	MAPK3
RPS3	RELA
PHB	NPM1
NPM1	EPAS1
VDAC1	ATP5B
ATP5B	HSP90AA1
ATP1A1	UQCRC2
UQCRC2	DDX39B
DDX39B	SMAD4
ATP1A1	CYC1
CYC1	GPT2
GPT2	ATF1
ELAVL1	NFYC
UQCRC2	HNRNPK
HNRNPK	NCL
PHB	RAF1
RPN1	CCT3
CCT3	PDX1
ATP1A1	IPO5
IPO5	CAND1
ATP1A1	ATP6V1A
ATP6V1A	SHMT2
SHMT2	NPAS2
ATP1A1	SLC25A3
SLC25A3	PPP2R1B
PPP2R1B	CLOCK
RPN1	ENO1
ENO1	E2F4
HNRNPK	SMAD3
VDAC1	BCL2L1
BCL2L1	TLE1
ATP6V1A	XIAP
XIAP	IRF3
BCL2L1	PARK2
CLTC	XRCC6
