PCCB	LYPLA1
LYPLA1	PRDX6
PRDX6	CASP8
CASP8	CEBPB
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	SP1
LYPLA1	DPYSL2
DPYSL2	NUMB
NUMB	TP53
LYPLA1	APRT
APRT	APP
APP	GSK3B
GSK3B	NFKB1
DPYSL2	ARFIP1
ARFIP1	STAT3
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	REL
MAPK3	JUN
APP	C9orf41
C9orf41	NR3C2
ASNS	PPP1CA
PPP1CA	YAP1
APP	MYC
MYC	ZBTB17
MAPK8	PIAS2
APP	ELK1
ASNS	EPRS
EPRS	POU2F1
STAT3	NFKB2
PPP1CA	CREB1
DPYSL2	LEF1
LEF1	EP300
EP300	EGR1
LEF1	DAZAP2
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
LEF1	CTNNB1
CTNNB1	TCF7L1
APRT	HECW2
HECW2	FOXK2
FOXK2	TEAD1
DPYSL2	GORASP2
GORASP2	GOLGA2
GOLGA2	TEAD4
LEF1	E2F1
E2F1	TEAD3
HECW2	TP73
MAPK3	CREBBP
ASNS	YWHAE
YWHAE	MAPK14
ASNS	TRIM69
TRIM69	PML
PML	MAPK11
APP	MAPK8IP2
MAPK8IP2	MAPK13
APP	TIRAP
TIRAP	MYD88
HECW2	TFAP2A
LEF1	SMAD3
SMAD3	E2F4
MAPK8	CEBPA
HECW2	MECP2
MECP2	SP3
APP	MCM7
MCM7	HIF1A
HECW2	ELAVL1
ELAVL1	ARNT
HLCS	SNX27
SNX27	NTRK1
NTRK1	RB1
RB1	CEBPB
SNX27	INSR
INSR	PRKCD
PRKCD	SP1
INSR	SOCS1
SOCS1	TP53
INSR	SOCS3
SOCS3	NFKB1
NTRK1	STAT3
NTRK1	RELA
INSR	GRB2
GRB2	REL
NTRK1	PML
PML	JUN
NTRK1	TRIM24
TRIM24	NR3C2
PML	YAP1
NTRK1	HCFC1
HCFC1	ZBTB17
PML	PIAS2
NTRK1	MAPK1
MAPK1	ELK1
NTRK1	LMNB1
LMNB1	POU2F1
NTRK1	ABL1
ABL1	CREB1
NTRK1	PSMA3
PSMA3	EGR1
NTRK1	CTNNB1
CTNNB1	LEF1
NTRK1	HGS
HGS	DAZAP2
PML	TCF7L2
INSR	TEAD1
NTRK1	GOLGA2
NTRK1	PHB2
PHB2	TEAD3
NTRK1	CDK2
CDK2	TP73
INSR	KHDRBS1
KHDRBS1	CREBBP
GRB2	EP300
INSR	SQSTM1
SQSTM1	MAPK14
NTRK1	VCP
VCP	MAPK13
SQSTM1	MYD88
RB1	TFAP2A
PML	E2F4
NTRK1	C1QBP
C1QBP	CEBPA
RELA	SP3
INSR	SHC1
SHC1	HIF1A
PML	ARNT
MCCC2	HMGCL
HMGCL	RNF126
RNF126	EGFR
EGFR	CEBPB
HMGCL	HES1
HES1	STAT3
STAT3	SP1
RNF126	CDKN1A
CDKN1A	TP53
STAT3	NFKB1
RNF126	UBE2D2
UBE2D2	RELA
HES1	HSPA4
HSPA4	REL
CDKN1A	JUN
HES1	HSP90AA1
HSP90AA1	NR3C2
