KCNJ11	YWHAB
YWHAB	YWHAZ
YWHAZ	TP53
YWHAB	ABL1
ABL1	CREB1
YWHAZ	COPS5
COPS5	CREB3
YWHAB	HDAC4
HDAC4	ATF2
YWHAB	CDC25A
CDC25A	NFYA
NFYA	ATF6B
CDC25A	TRIB3
TRIB3	ATF4
YWHAB	GIGYF2
GIGYF2	ELAVL1
ELAVL1	CREB3L2
YWHAB	BAD
BAD	CREB3L3
CREB3L3	CREB3L1
ABL1	BRCA1
BRCA1	CREB5
YWHAZ	ENO1
ENO1	E2F4
YWHAB	HSPA5
HSPA5	EP300
EP300	USF2
YWHAB	RFWD2
RFWD2	ETV4
YWHAB	CDK11B
CDK11B	POU2F1
YWHAB	PRKCZ
PRKCZ	SP1
YWHAB	GRIP1
GRIP1	CREBBP
HDAC4	HIF1A
EP300	ARNT
GRIP1	PPARG
YWHAB	TRIM32
TRIM32	RXRA
YWHAB	AKAP13
AKAP13	RXRB
YWHAZ	AJUBA
AJUBA	RXRG
HDAC4	NFKB1
PRKCZ	RELA
YWHAB	HES1
HES1	STAT3
YWHAB	YWHAQ
YWHAQ	YAP1
ABL1	JUN
RFWD2	ETS1
KCNJ1	SLC9A3R1
SLC9A3R1	YWHAZ
SLC9A3R1	YAP1
YAP1	CREB1
YWHAZ	HDAC4
YAP1	PTCH1
PTCH1	ATF6B
YAP1	EP300
EP300	ATF4
YWHAZ	CTNNB1
CTNNB1	ELAVL1
SLC9A3R1	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
SLC9A3R1	PDGFRB
PDGFRB	TRIP6
TRIP6	CREB5
SLC9A3R1	EZR
EZR	BRCA1
YWHAZ	RFWD2
YWHAZ	XRCC6
XRCC6	POU2F1
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	SP1
KCNJ1	SLC9A3R2
SLC9A3R2	SMARCA2
SMARCA2	CREBBP
CAPN1	HIF1A
HIF1A	ARNT
CTNNB1	PPARG
SLC9A3R1	YWHAQ
YWHAQ	NRIP1
NRIP1	RXRA
SLC9A3R2	ACTN4
ACTN4	RARA
RARA	RXRB
SLC9A3R1	RPS3
RPS3	NFKB1
RPS3	RELA
STAT3	JUN
TP53	ETS1
ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	CDC42
CDC42	TP53
RAP1A	HDAC1
HDAC1	CREB1
RAPGEF4	TRAF2
TRAF2	COPS5
TRAF2	JUN
JUN	ATF2
RAP1A	NTRK1
NTRK1	CDK6
CDK6	ATF6B
JUN	ATF4
TRAF2	ELAVL1
RAPGEF4	BZRAP1
BZRAP1	TSPO
TSPO	CREB3L1
TRAF2	CREB5
HDAC1	E2F4
RAP1A	TCEB3
TCEB3	BRCA1
TRAF2	USF1
USF1	USF2
ABCC8	KCNJ11
HDAC1	POU2F1
HDAC1	SP1
HDAC1	CREBBP
HDAC1	EP300
RAP1A	FAF1
FAF1	HIF1A
TRAF2	PIAS2
PIAS2	ARNT
HDAC1	PPARG
TRAF2	NRIP1
NTRK1	CUL1
CUL1	RXRG
RAP1A	HSPA4
HSPA4	NFKB1
NTRK1	RELA
NTRK1	STAT3
TRAF2	UBE2D1
UBE2D1	YAP1
JUN	ETS1
IFNG	ICAM1
IFNG	IDO1
TNF	VCAM1
CREB3	CRH
CREB3	BDNF
CREB1	CRH
CREB1	BDNF
ATF2	CRH
ATF2	BDNF
ATF6B	CRH
CREB3L4	FOSB
CREB3L4	NPY
ATF4	FOSB
ATF4	NPY
MAPK3	PDYN
CREB3L2	CRH
ATF6B	ARC
ATF4	ARC
TP53	GADD45G
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	BIRC3
JUN	CCND3
NFKB1	TNF
RELA	TNF
CREB3L3	PCNA
CREBBP	SERPINE1
CREBBP	PGK1
CREBBP	TIMP1
EP300	SERPINE1
EP300	PGK1
EP300	TIMP1
HIF1A	SERPINE1
HIF1A	SLC2A1
HIF1A	TFRC
TCF7	MITF
VDR	TRPV6
NFKB1	GADD45B
NFKB1	VCAM1
RELA	BCL2A1
PIK3CD	AKT1
MYC	MMP1
NFKB2	BIRC8
RELA	TRAF4
CREB3L2	MCL1
PPARA	ACAA1
PPARD	ACOX1
PPARG	LPL
RXRA	FABP4
MAPK3	IL12A
PPARG	GADD45A
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
SP1	IL1B
ESR2	JUN
ETS2	JUN
JUN	JUN
SMAD3	MMP9
SP1	MMP9
BCL3	MYB
CEBPE	MYB
EGR1	MYB
ESR1	MYC
MYC	NRAS
CREB1	NRAS
TFAP2A	NRAS
ATF1	NTS
JUN	NTS
JUND	NTS
SP1	ODC1
WT1	ODC1
E2F4	PCNA
BRCA1	PCNA
SP1	PDGFB
SP3	PDGFB
SP1	PDHA1
TFAP2A	PDHA1
ATF3	PENK
FOS	PENK
CEBPB	PRL
CEBPB	PTGS2
ETV4	TNF
POU2F1	VWF
SMAD4	ZFP36
