HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	AKT1
AKT1	CREB1
ARRB2	C1QBP
C1QBP	CEBPA
ARRDC3	NEDD4
NEDD4	ERBB3
ERBB3	EGR1
ARRB2	MAPK1
MAPK1	SP1
ARRDC3	ADRB2
ADRB2	STAT3
ADRB2	REL
MAPK1	CEBPB
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
ARRB2	CDK3
CDK3	PPARA
MAPK1	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
ARRDC3	ITCH
ITCH	JUN
ARRB2	STAT1
ARRB2	MCM3
MCM3	EPAS1
ARRB2	POLR2E
POLR2E	FOS
ITCH	TP53
TP53	ETS1
ARRB2	HNRNPD
HNRNPD	MYC
TP53	ETS2
ARRB2	TRAF6
TRAF6	MYD88
ARRB2	TRIM28
TRIM28	IRF7
MAPK1	STAT5A
ARRDC3	HGS
HGS	INSR
INSR	STAT5B
ADRB2	STAT4
NFKBIA	NFKB2
MAPK1	ATF2
TRIM28	E2F4
MAPK1	VDR
ADRB2	HDAC6
HDAC6	NR1H4
AKT1	SKI
SKI	GLI2
ARRB2	RALGDS
RALGDS	KRAS
KRAS	GLI3
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ITCH	PTCH1
PTCH1	ATF6B
NFKBIA	ATF4
NEDD4	KIFC3
KIFC3	CREB5
ITCH	GLI1
ARRB2	CSNK2A1
CSNK2A1	NFYA
ITCH	GRB2
GRB2	NFYB
ARRB2	GAPDH
GAPDH	NFYC
HGS	APP
APP	RFX5
ARRB2	NCL
NCL	RFXAP
HGS	BSG
BSG	RFXANK
ARRB2	MAPK3
ARRB2	NONO
NONO	SPI1
MAPK1	HSF1
CSNK2A1	ATF1
STAT1	STAT2
ARRB2	EEF1A1
EEF1A1	STAT6
ARRB2	MAPK9
MAPK9	IRF3
ARRB2	XRCC6
XRCC6	POU2F1
MAPK3	CREM
ARRB2	NPM1
NPM1	TFAP2A
ARRB1	MAPK14
NEDD4	MAPKAPK3
MAPKAPK3	MAPK11
ARRB2	VCP
VCP	MAPK13
ARRB2	MAP2K4
MAP2K4	MAPK8
MAP2K4	MAPK10
EP300	USF2
HGS	MAP3K10
MAP3K10	NEUROD1
ARRB2	SFPQ
SFPQ	HDAC1
HDAC1	NKX2-2
NEDD4	SMAD3
SMAD3	PAX6
ARRB2	YWHAQ
YWHAQ	YAP1
IFNG	ICAM1
TNF	VCAM1
CREB3	BDNF
