CA1	TFCP2
TFCP2	HDAC1
HDAC1	NFKB1
TFCP2	SUMO1
SUMO1	PML
PML	JUN
TFCP2	HDAC2
HDAC2	SP1
TFCP2	CDC73
CDC73	HSP90AA1
HSP90AA1	NFIC
SUMO1	TP53
TP53	EGR1
HDAC1	POU2F1
HDAC1	CREB1
HDAC2	TWIST1
TWIST1	HOXA5
TP53	TFAP2A
CA2	NONO
NONO	HDAC3
HDAC3	NFKB1
HDAC3	JUN
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	SP1
CDKN2A	HSP90AA1
CDKN2A	EGR1
NONO	HDAC1
NONO	PPP1CA
PPP1CA	CREB1
NONO	PTBP1
PTBP1	RBFOX2
RBFOX2	HOXA5
CDKN2A	TP53
CDKN2A	BRCA1
BRCA1	TFAP2A
SLC12A2	COMMD1
COMMD1	NFKB1
COMMD1	EP300
EP300	JUN
EP300	SP1
SLC12A2	SEC13
SEC13	BCR
BCR	HSP90AA1
EP300	EGR1
COMMD1	RELA
RELA	POU2F1
EP300	CREB1
SEC13	TRAF5
TRAF5	ELAVL1
ELAVL1	HOXA5
BCR	TP53
EP300	TFAP2A
SLC12A3	HSPA8
HSPA8	RELA
RELA	NFKB1
RELA	JUN
SLC12A3	HSP90AA1
HSP90AA1	SP1
RELA	EGR1
HSPA8	POU2F1
HSPA8	ABL1
ABL1	CREB1
RELA	MAPK14
MAPK14	HOXA5
HSPA8	TP53
TP53	BAI1
CREB1	CYP11A1
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	CYP11A1
CREB1	REN
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
CREB1	TH
HOXA5	TH
TFAP2A	TH
