TUBB1	SNCA
SNCA	UBC
UBC	ATF6
SNCA	MAPK8
MAPK8	SP1
SNCA	PTK2
PTK2	TP53
SNCA	MAPK1
MAPK1	RXRA
SNCA	APP
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
AKAP13	PPARA
MAPK8	JUN
SNCA	HSPA4
HSPA4	NFKB1
SNCA	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
MAPK1	HIF1A
SNCA	CLTC
CLTC	EP300
EP300	EGR1
SNCA	AKT1
AKT1	CREB1
APP	MYC
BCL2	BRCA1
BRCA1	GTF2I
GTF2I	ATF6
BRCA1	SP1
BCL2	TP53
BCL2	SMN1
SMN1	RXRA
TP53	NR3C1
NR3C1	RXRB
BCL2	NR4A1
BCL2	HSP90AA1
HSP90AA1	PPARA
BRCA1	JUN
BCL2	CHUK
CHUK	NFKB1
BCL2	HIF1A
TP53	EGR1
BRCA1	CREB1
BCL2	MYC
MAP2	APP
APP	SYVN1
SYVN1	ATF6
MAP2	PSMC5
PSMC5	SP1
PSMC5	TP53
APP	GSK3B
GSK3B	RXRA
MAP2	NEDD4
NEDD4	PPARG
PPARG	RXRG
APP	MAPK8
GSK3B	NFKB1
MAP2	FYN
FYN	HSP90AA1
APP	MCM7
MCM7	HIF1A
PSMC5	PSMA3
PSMA3	EGR1
APP	KAT5
KAT5	CREB1
MAP4	LSM8
LSM8	GTF2I
MAP4	SERBP1
SERBP1	TP53
TP53	SP1
MAP4	LSM3
LSM3	MED1
MED1	RXRA
MED1	NR3C1
LSM3	YBX1
YBX1	CUL1
CUL1	RXRG
LSM3	LSM1
LSM1	HSP90AA1
SERBP1	PIAS1
PIAS1	JUN
SERBP1	RPS3
RPS3	NFKB1
TP53	HIF1A
SERBP1	DAXX
DAXX	CREB1
GTF2I	MYC
MAPT	UBC
MAPT	SYK
SYK	SP1
MAPT	YWHAZ
YWHAZ	TP53
MAPT	GSK3B
MAPT	BAG1
BAG1	NR3C1
YWHAZ	AJUBA
AJUBA	RXRG
MAPT	SIRT1
SIRT1	PPARA
MAPT	ABL1
ABL1	JUN
MAPT	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
MAPT	SQSTM1
SQSTM1	HIF1A
ABL1	CREB1
GSK3B	MYC
NR1I2	NCOR2
NCOR2	SRF
SRF	ATF6
NR1I2	RXRA
RXRA	SP1
NR1I2	PSMC5
NR1I2	RXRB
NR1I2	RXRG
RXRA	PPARA
NCOR2	JUN
NR1I2	NCOA3
NCOA3	NFKB1
NCOA3	RFX1
RFX1	NFIC
RXRA	EP300
EP300	HIF1A
NR1I2	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
NR1I2	NCOR1
NCOR1	CREB1
NR1I2	TFAP2C
TFAP2C	MYC
TCF7L2	CCND1
PAX6	GCK
MITF	TYRP1
EPAS1	TGFB1
ETS1	VEGFC
FOS	FIGF
NFKB2	TRAF1
RELA	NOS2
FOXO3	G6PC2
ATF4	MCL1
PPARA	CYP4A11
PPARA	ACSL3
PPARD	CPT1A
PPARD	FABP3
PPARG	CPT1B
PPARG	ACSL6
RXRA	CYP4A11
RXRA	CYP8B1
MAPK8	IL18
MAPK9	NOS2
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
POU5F1	HMGB2
STAT5A	IFNG
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
ERG	JUN
POU2F2	MYC
SMAD4	ZFP36
