CACNA1C	COPS5
COPS5	ESR1
ESR1	RELA
COPS5	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
COPS5	HIF1A
COPS5	NCOA1
NCOA1	ARNT
COPS5	JUN
COPS5	NFKB1
COPS5	APP
APP	MYC
CACNA1S	SRI
SRI	STAT3
STAT3	RELA
SRI	TCF12
TCF12	CREBBP
STAT3	EP300
STAT3	HIF1A
STAT3	PML
PML	ARNT
STAT3	JUN
STAT3	NFKB1
PML	MYC
CACNB1	APP
APP	EEF1D
EEF1D	RELA
APP	CDC20
CDC20	CREBBP
APP	MAPK8
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK8	JUN
APP	GSK3B
GSK3B	NFKB1
CACNB3	CACNA1C
CACNB4	CBX3
CBX3	FAF1
FAF1	RELA
CBX3	XRCC6
XRCC6	CREBBP
CBX3	POLR2A
POLR2A	EP300
FAF1	HIF1A
CBX3	CBX5
CBX5	RB1
RB1	ARNT
CREBBP	JUN
CBX3	RELB
RELB	NFKB1
CBX3	PIM1
PIM1	MYC
NR3C2	NR3C1
NR3C1	RELA
NR3C1	CREBBP
NR3C1	EP300
NR3C2	UBE2I
UBE2I	HIF1A
NR3C2	NCOA1
NR3C1	JUN
NR3C1	NFKB1
NR3C2	PSMC5
PSMC5	MYC
AHR	RELA
AHR	EP300
EP300	CREBBP
EP300	HIF1A
AHR	ARNT
EP300	JUN
EP300	NFKB1
EP300	MYC
CREB1	PCNA
MAPK8	SMAD4
CREBBP	CDKN1A
CREBBP	PDK1
EP300	CDKN1A
EP300	PDK1
HIF1A	CDKN1A
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
PIK3CG	AKT2
PIK3R3	AKT2
RELA	IL2
