HTR1B	MDFI
MDFI	PIN1
PIN1	JUN
MDFI	VHL
VHL	SP1
MDFI	MYOD1
MYOD1	CREBBP
MDFI	KAT5
KAT5	EP300
VHL	HIF1A
EP300	ARNT
EP300	ETS1
EP300	NFKB1
KAT5	RELA
KAT5	TP53
KAT5	CREB1
KAT5	BRCA1
BRCA1	ATF1
VHL	HSP90AA1
HSP90AA1	NFIC
KAT5	UBE2I
UBE2I	PPARA
BRCA1	POU2F1
EP300	TFAP2A
KAT5	GADD45G
GADD45G	PPARD
MYOD1	RUNX1
MDFI	CBFA2T2
CBFA2T2	RUNX1T1
KAT5	MYC
EP300	FOS
MDFI	NR1H2
NR1H2	RXRA
NR1H2	RXRB
NR1H2	RXRG
VHL	EPAS1
MYOD1	STAT3
EP300	STAT1
UBE2I	HSF1
MDFI	AASDHPPT
AASDHPPT	PLCG1
PLCG1	SOS1
KAT5	ESR1
ESR1	SOS2
PIN1	RARA
KAT5	CEBPA
PIN1	PML
MDFI	SPRY2
SPRY2	ZBTB16
MDFI	NAB2
NAB2	YAP1
PIN1	PPARG
NAB2	SPI1
EP300	ATF4
BRCA1	NFYA
EP300	NFYB
VHL	CDK2
CDK2	NFYC
KAT5	APP
APP	RFX5
VHL	NCL
NCL	RFXAP
VHL	BSG
BSG	RFXANK
EP300	CEBPB
HSP90AA1	NR3C2
NR1H2	FOXO3
KAT5	YWHAG
YWHAG	WWTR1
PIN1	IRF3
NAB2	TAL1
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	FOS
S1PR1	GNAI3
GNAI3	XPO1
XPO1	STAT1
S1PR1	TRIP6
TRIP6	NCK2
NCK2	SOS1
TRIP6	ABI2
ABI2	SOS2
SMAD3	NFYC
SMAD3	CEBPB
HTR1A	S1PR1
TRIP6	CREB5
CREB5	JUN
SMAD3	SP1
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
SMAD3	HIF1A
GNAI3	YWHAQ
YWHAQ	NCOA1
NCOA1	ARNT
YWHAQ	NCOA3
NCOA3	ETS1
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
TRIP6	PTK2
PTK2	TP53
HTR1A	HTR1D
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
YWHAQ	SMURF1
SMURF1	NFIC
NCOA1	PPARA
YWHAQ	LMNB1
LMNB1	POU2F1
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
GNAI3	CAPNS1
CAPNS1	PPARGC1A
PPARGC1A	PPARD
SMAD3	RUNX1
WWP2	ATN1
