PTGS2	EP300
EP300	SMAD4
EP300	SMAD3
EP300	SP1
SMAD3	YAP1
EP300	SMAD2
EP300	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
EP300	HIF1A
HIF1A	WWTR1
EP300	JUN
EP300	FOS
EP300	ETS1
EP300	STAT1
EP300	CREBBP
EP300	ARNT
EP300	CREB1
PTGS1	CAV1
CAV1	AR
AR	SMAD4
CAV1	MAPK1
MAPK1	SMAD3
CAV1	CTNNB1
CTNNB1	SP1
CAV1	PPP1CA
PPP1CA	YAP1
CAV1	SMAD2
CTNNB1	SOX2
SOX2	TEAD1
CAV1	ESR1
ESR1	GOLGA2
CAV1	EGFR
EGFR	CTBP2
CTBP2	TEAD3
PPP1CA	WWTR1
CAV1	CSK
CSK	JUN
PTGS1	PTGS2
EGFR	STAT1
CTNNB1	CREBBP
CTNNB1	HIF1A
PPP1CA	CREB1
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
HIF1A	PGK1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
RXRA	UCP1
RXRB	CYP4A22
TCF7	JUN
SP1	KRT5
TFAP2A	KRT5
SP3	LCAT
ETS1	LCK
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
