GABRA1	PRKCD
PRKCD	STAT3
STAT3	JUN
PRKCD	SP1
STAT3	NFKB1
STAT3	RELA
STAT3	IL1RAP
IL1RAP	MYD88
PRKCD	EP300
EP300	PPARG
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
PPARG	RXRG
PRKCD	IKBKB
IKBKB	MEOX2
MEOX2	PAX1
EP300	FOS
PRKCD	INSR
INSR	IRF7
PRKCD	STAT1
EP300	IRF3
STAT3	HIF1A
STAT3	NFKB2
EP300	FOXO1
PRKCD	HSP90AA1
HSP90AA1	PPARA
EP300	ETS1
EP300	TFAP2A
EP300	CREBBP
EP300	ARNT
NFKB1	IRF8
EP300	IRF1
PRKCD	TNFRSF1A
TNFRSF1A	SOS1
STAT3	EGFR
EGFR	SOS2
EP300	FOXO3
EP300	SP3
PRKCD	TP53
EP300	STAT5A
INSR	STAT5B
STAT3	MAPK8
TP53	MAPK9
TP53	MAPK10
APP	MYC
ADRA2B	UCHL1
UCHL1	UBE2I
UBE2I	JUN
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	COPS5
COPS5	NFKB1
UCHL1	TP53
TP53	RELA
CTNNB1	HDAC6
HDAC6	MYD88
CTNNB1	PPARG
UBE2I	RXRA
PPARG	RXRB
UCHL1	PARK2
PARK2	MEOX2
UBE2I	FOS
TP53	IRF7
UBE2I	STAT1
UCHL1	HSP90AA1
HSP90AA1	IRF3
CTNNB1	HIF1A
CTNNB1	BTRC
BTRC	NFKB2
CTNNB1	EP300
UBE2I	PPARA
HSP90AA1	STAT3
UBE2I	ETS1
TP53	TFAP2A
CTNNB1	CREBBP
HSP90AA1	ARNT
UBE2I	TOP1
TOP1	IRF8
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	HMGA1
HMGA1	IRF1
UCHL1	TNFRSF1A
CTNNB1	ESR1
ESR1	SOS2
CTNNB1	FOXO3
HNRNPL	SFPQ
SFPQ	SP3
UBE2I	NR3C1
NR3C1	STAT5B
CTNNB1	MAPK8
CTNNB1	MAPK9
UCHL1	CDK4
CDK4	MYC
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	PIN1
PIN1	JUN
ZCCHC10	TP53
TP53	SP1
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	MYD88
PIN1	PPARG
SDCBP2	PRPF40A
PRPF40A	UBE2I
SDCBP2	C1orf35
C1orf35	APP
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
PRPF40A	CYFIP1
CYFIP1	MEOX1
MEOX1	PAX1
TRAF6	IRF7
IRAK1	STAT1
PIN1	IRF3
TRAF6	HIF1A
TRAF6	STAT3
SDCBP2	SEC23A
SEC23A	STUB1
STUB1	FOXO1
TP53	ETS1
TP53	CREBBP
TP53	EP300
HIF1A	ARNT
TRAF6	IRF8
STUB1	IRF1
TRAF6	NTRK1
NTRK1	SOS1
NTRK1	SOS2
TRAF6	AKT1
AKT1	FOXO3
PRPF40A	SFPQ
SDCBP2	PRPF38A
PRPF38A	CSNK2B
CSNK2B	STAT5A
NTRK1	STAT5B
SDCBP2	C11orf57
C11orf57	MAPK8
GABRA4	APP
APP	MAPK8
MAPK8	JUN
MAPK8	SP1
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	TIRAP
TIRAP	MYD88
APP	RFX5
RFX5	PPARG
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	HGS
HGS	ESRRG
ESRRG	MEOX2
APP	MAPK7
MAPK7	FOS
APP	PSEN2
PSEN2	TRAF6
APP	HDAC4
HDAC4	STAT1
MAPK8	IRF3
APP	MCM7
MCM7	HIF1A
HGS	TSG101
TSG101	NFKB2
APP	STUB1
AKAP13	PPARA
MAPK8	STAT3
MAPK7	ETS1
MYC	TFAP2A
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
PSEN2	ELAVL1
ELAVL1	ARNT
APP	SET
SET	IRF1
APP	SHC1
SHC1	SOS1
SHC1	SOS2
MYC	FOXO3
RELA	SP3
MAPK8	TP53
SHC1	STAT5A
SHC1	STAT5B
MAPK8	MAPK9
APP	MAPK8IP2
MAPK8IP2	MAPK10
GABRB1	NOD1
NOD1	CASP9
CASP9	JUN
NOD1	HSP90AA1
HSP90AA1	SP1
NOD1	COPS6
COPS6	NFKB1
NOD1	RNF34
RNF34	TP53
NOD1	UBC
UBC	HDAC6
UBC	SFPQ
SFPQ	PPARG
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
UBC	CUL1
UBC	HLA-A
HLA-A	MEOX2
UBC	ABL1
ABL1	FOS
UBC	BRCA1
BRCA1	STAT1
NOD1	PSMA7
PSMA7	HIF1A
UBC	TSG101
UBC	FHL2
FHL2	FOXO1
UBC	SQSTM1
SQSTM1	IRF8
UBC	TRIM28
TRIM28	IRF1
UBC	CBL
CBL	SOS1
UBC	BIN1
BIN1	SOS2
UBC	BTRC
BTRC	FOXO3
UBC	E2F1
E2F1	SP3
BRCA1	STAT5A
UBC	HAX1
HAX1	STAT5B
RNF34	APP
HSP90AA1	MYC
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	JUN
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
GSK3B	RELA
GSK3B	MDM2
MDM2	MYD88
GSK3B	CTNNB1
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
PRKAB2	MEOX2
GSK3B	BCL3
BCL3	FOS
GSK3B	SMAD3
SMAD3	IRF7
PRKAB2	GNB2L1
GNB2L1	STAT1
GSK3B	EWSR1
EWSR1	IRF3
GNB2L1	HIF1A
PRKAB2	REL
REL	NFKB2
SMAD3	FOXO1
RELA	PPARA
BCL3	STAT3
GSK3B	TP53
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	PIAS2
PIAS2	ARNT
MDM2	IRF1
GSK3B	PTPN11
PTPN11	SOS1
PRKAA1	ABI2
ABI2	SOS2
CRX	SP3
PRKAB2	CSNK2B
PTPN11	STAT5B
PRKAB2	PRKDC
PRKDC	MAPK9
GSK3B	MYC
GABRB3	MEOX2
MEOX2	RELA
RELA	JUN
RELA	SP1
RELA	NFKB1
MEOX2	TRAF6
GABRB3	PRKCA
PRKCA	PPARG
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
RELA	FOS
MEOX2	CIAPIN1
CIAPIN1	STAT1
MEOX2	PIN1
RELA	HIF1A
RELA	NFKB2
PRKCA	EP300
RELA	STAT3
RELA	CREBBP
GABRB3	PRKACA
PRKACA	HSP90AA1
RELA	IRF8
MEOX2	SET
MEOX2	NCK2
NCK2	SOS1
PRKACA	EGFR
MEOX2	IKBKB
IKBKB	FOXO3
RELA	TP53
MEOX2	POM121C
POM121C	STAT5A
EGFR	STAT5B
EGFR	MAPK8
EGFR	MAPK9
PRKACA	HDAC1
HDAC1	MAPK10
MEOX2	KAT5
KAT5	MYC
GABRD	UBQLN1
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	APP
UBQLN1	UBQLN4
UBQLN4	RXRA
UBQLN1	UBE3A
UBE3A	RARA
RARA	RXRG
UBE3A	MEOX2
UBQLN1	PSEN2
UBQLN1	MTOR
MTOR	STAT1
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	VCP
VCP	NFKB2
MTOR	STAT3
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	RAD23A
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	C1QTNF2
C1QTNF2	ARNT
CREBBP	SP3
RAD23A	TP53
GABRE	HLA-A
HLA-A	STAT3
GABRE	CUX1
CUX1	CCNA1
CCNA1	SP1
GABRE	BSCL2
BSCL2	PLEKHF2
PLEKHF2	MBIP
MBIP	MYD88
GABRE	GPAA1
GPAA1	PIN1
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
GABRE	ALG9
ALG9	XBP1
XBP1	FOS
CUX1	SATB1
SATB1	PIAS4
PIAS4	IRF7
ALG9	RTF1
RTF1	STAT1
SATB1	PML
PML	FOXO1
SATB1	UBE2I
SATB1	EP300
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
PML	ARNT
ALG9	EAF1
EAF1	TOP1
CUX1	BIN1
BIN1	SOS1
GP1BB	YWHAZ
YWHAZ	FOXO3
CUX1	TLE4
TLE4	HDAC1
HDAC1	SP3
CUX1	EHMT2
EHMT2	TP53
BSCL2	POM121C
CCNA1	PGR
PGR	STAT5B
FAM189B	CYHR1
CYHR1	MAPK9
BIN1	MYC
GABRG2	GABARAP
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	JUN
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
GABARAP	SQSTM1
SQSTM1	MYD88
NEDD4	PPARG
NEDD4	SRC
SRC	RXRA
SMAD3	MEOX2
SMAD3	FOS
TAX1BP1	TNFAIP3
TNFAIP3	IRF7
GABARAP	ATG7
ATG7	STAT1
TAX1BP1	IKBKE
IKBKE	IRF3
SQSTM1	HIF1A
TNFAIP3	NFKB2
ATG7	FOXO1
ATG7	SIRT1
SIRT1	PPARA
GABARAP	TBC1D15
TBC1D15	STAT3
ATG7	EP300
PPARG	TFAP2A
SMAD3	CREBBP
NEDD4	MDM2
NEDD4	EGFR
EGFR	SOS1
GABARAP	GBAS
GBAS	FOXO3
GABARAP	DVL2
DVL2	TP53
SQSTM1	STAT5A
NEDD4	YY1
YY1	MYC
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
PPARA	CPT1C
PPARA	CPT1B
ATF6B	PDYN
ATF4	PDYN
CREB3	IL8
MAPK8	JUN
MAPK9	JUN
CREB3L1	IL8
CREBBP	ANGPT4
CREBBP	PFKFB1
CREBBP	VEGFA
EP300	ANGPT4
EP300	PFKFB1
EP300	VEGFA
HIF1A	ANGPT4
HIF1A	PFKFB1
LEF1	SNAI2
LEF1	SOX2
TCF7	BIRC2
TCF7L2	SNAI2
SOS1	BCL2L1
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R2	AKT3
PIK3R3	PDPK1
TP53	DDB2
TP53	ZMAT3
TP53	THBS1
NFKB1	PGF
NFKB1	VEGFB
EPAS1	SLC2A1
EPAS1	TGFB2
JUN	VEGFB
MYC	CKS1B
MYC	MMP1
MYC	VEGFA
MYC	VEGFB
NFKB2	PTGS2
NFKB2	TRAF6
RELA	CCND1
RELA	TRAF4
CREB3L4	MCL1
FOXO3	BCL2L11
PPARA	NR1H3
PPARA	EHHADH
PPARA	ACSL4
PPARA	ACAA1
PPARA	SCP2
PPARA	SCD5
PPARG	SORBS1
PPARG	ACSL3
PPARG	GK
PPARG	LPL
RXRA	NR1H3
RXRA	SLC27A4
RXRA	SCP2
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRA	CD36
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	EHHADH
RXRB	FABP3
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
RXRG	NR1H3
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1B
RXRG	CYP7A1
SMAD5	ID3
FOS	CCL4L1
IRF5	IL8
MAPK3	TNF
ELK1	TWF2
MYB	CDK1
USF1	APOC3
USF2	APOC3
USF1	CTSB
SP1	CTSL
SP3	CTSL
SP1	EGFR
TFAP2A	KRT5
SP3	LCAT
ETS1	LCK
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
FOS	MT1A
JUN	MT1A
WT1	MYB
E2F4	MYC
MYC	MYC
MYB	MYC
PGR	MYC
BCL3	NFKB1
CEBPA	NFKB1
ETS1	NFKB1
CEBPA	NFYB
TP53	NME1
POU2F1	PRL
CREB1	PTGS2
