SLC22A6	APP
APP	KAT5
KAT5	CREB1
APP	MYC
MYC	TFAP2A
APP	HGS
HGS	ESRRG
ESRRG	MEOX2
MEOX2	PAX1
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	TRAF6
TRAF6	IRF7
APP	TIRAP
TIRAP	MYD88
APP	GSK3B
GSK3B	NFKB1
APP	HSPA8
HSPA8	HTT
HTT	ETV4
APP	MAPK8
MAPK8	JUN
APP	EEF1D
EEF1D	RELA
APP	MAPK7
MAPK7	ETS1
MAPK7	FOS
APP	AKAP13
AKAP13	PPARA
GSK3B	RXRA
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
MAPK8	TP53
PSEN2	ELAVL1
ELAVL1	MITF
PANX1	GNAS
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	CREB1
GNAS	GIPC1
GIPC1	SH3BP4
SH3BP4	TFAP2A
GNAS	HLA-A
HLA-A	MEOX2
GIPC1	MCM7
GNAS	AXIN1
AXIN1	TNFAIP3
TNFAIP3	IRF7
GNAS	SHMT2
SHMT2	HDAC6
HDAC6	MYD88
GNAS	C1QBP
C1QBP	NFKBIE
NFKBIE	NFKB1
AXIN1	HTT
C1QBP	PRKD1
PRKD1	JUN
GIPC1	OGT
OGT	RELA
CREBBP	ETS1
C1QBP	CEBPA
CEBPA	FOS
C1QBP	DAP3
DAP3	PPARA
RUVBL1	UBE2I
UBE2I	RXRA
RUVBL1	RARA
RARA	RXRB
RARA	RXRG
AXIN1	TP53
UBE2I	MITF
EP300	PDK1
STAT2	CCND2
STAT2	SOCS3
NFKB1	CXCL2
NFKB1	NFKBIA
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
EPAS1	FIGF
NFKB2	BCL2L1
PPARA	CPT2
PPARG	CPT1A
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	CYP27A1
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1C
RXRG	ACSL1
IRF7	IFNA16
NFYC	HLA-DMA
NFYC	HLA-DOA
TP53	APAF1
TP53	HSP90AB1
USF1	XRCC6
USF1	SERPINE1
TFAP2A	CALB2
ATF1	CALCA
CREB1	CALCA
USF1	CCND1
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
WT1	MYB
E2F4	MYC
MYC	MYC
