ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
IGFBP3	FN1
FN1	TRIB3
TRIB3	ATF4
COL1A1	UBL4A
UBL4A	RAB1A
RAB1A	CREB1
FN1	SMAD4
SMAD4	ATF2
COL1A1	ITGB1
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
ITGB1	SEL1L
SEL1L	ERLEC1
ERLEC1	ATF6B
FN1	ELAVL1
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
COL1A1	PDGFB
PDGFB	MDFI
MDFI	CREB5
UBL4A	HSP90AA1
HSP90AA1	PPARA
UBL4A	NCL
NCL	SP1
UBL4A	TXN
TXN	NFKB1
COL1A1	P4HB
P4HB	PSMD9
PSMD9	BRCA1
FN1	RBL1
RBL1	E2F4
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
ITGB1	GNB2L1
GNB2L1	HIF1A
HSP90AA1	ARNT
ITGB1	PRKCA
PRKCA	PPARG
HSP90AA1	NFIC
UBL4A	KPNA2
KPNA2	RELA
FN1	RARA
UBL4A	SMN1
SMN1	RXRA
RARA	RXRB
RARA	RXRG
UBL4A	APP
APP	ELK1
UBL4A	C1QBP
C1QBP	CEBPA
P4HB	VCP
VCP	NFKB2
TP53	EGR1
IGF1R	CSK
CSK	JUN
CD44	STAT3
XRCC6	POU2F1
P4HB	UCHL3
UCHL3	YAP1
UBL4A	HSPB1
HSPB1	ZBTB17
UBL4A	HUWE1
HUWE1	PIAS2
IGF1R	RUVBL1
RUVBL1	LEF1
EP300	USF2
IGF1R	ESR1
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
ITGB1	PTK2
PTK2	STAT1
UBL4A	NPM1
NPM1	TFAP2A
TP53	ETS2
COL1A1	PDGFA
PDGFA	PLCG1
PLCG1	SOS1
PLCG1	SOS2
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD2
SMAD2	RARB
PTK2	SAE1
SAE1	ETV4
TP53	ETS1
UBL4A	HNRNPK
HNRNPK	CEBPB
ITGB1	FLNA
FLNA	REL
FN1	CSNK2A1
CSNK2A1	ATF1
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
HSP90AA1	PPARD
ELAVL1	ELK4
FN1	CIRBP
CIRBP	SRF
IGFBP3	GTF3C1
GTF3C1	TOP1
TOP1	ELK3
IGF1R	KCNIP3
KCNIP3	CREM
TGFB1	SMAD3
HSP90AA1	ATF3
SMAD4	PAX6
YAP1	TEAD1
ILK	TRIM27
TRIM27	TEAD4
UBL4A	PHB2
PHB2	TEAD3
RBL1	TFDP2
IGF1R	MDM2
MDM2	JUND
UBL4A	FUS
FUS	SPI1
UBL4A	PRPF31
PRPF31	TFDP1
ITGB1	TUBA1A
TUBA1A	MYC
ESR1	SP3
C1QBP	MRPL12
MRPL12	RARG
RANBP9	AR
TP53	NFYA
TP53	NFYB
FN1	GAPDH
GAPDH	NFYC
APP	RFX5
NCL	RFXAP
FLNA	BSG
BSG	RFXANK
NPM1	EPAS1
UBL4A	HSPA8
HSPA8	ERG
UBL4A	PHB
PHB	E2F1
RBL1	E2F2
RBL1	E2F3
COL1A1	RNH1
RNH1	PTGES3
PTGES3	NR3C2
FN1	UBE2L3
UBE2L3	FOS
UBL4A	YWHAE
YWHAE	WWTR1
XRCC6	PGR
FN1	STAT5A
UBL4A	JAK1
JAK1	STAT5B
HSPB1	STAT2
FN1	TRIM28
TRIM28	STAT4
UBL4A	EEF1A1
EEF1A1	STAT6
ELAVL1	HOXA5
YWHAE	FOXO3
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	TSG101
TSG101	TP53
KRT31	NEK6
NEK6	ATF4
TSG101	EP300
EP300	CREB1
KRT31	HDAC4
HDAC4	ATF2
HDAC4	HDAC3
HDAC3	CREB3
TSG101	CDKN1A
CDKN1A	CDK6
CDK6	ATF6B
TSG101	XPO1
XPO1	ELAVL1
KRT31	PRKAA2
PRKAA2	PRKAB2
PRKAB2	CREB3L1
TSG101	TRIM23
TRIM23	CREB5
TSG101	UBE2I
UBE2I	PPARA
HDAC4	SP1
HDAC4	NFKB1
KRT31	LMO4
LMO4	BRCA1
KRT31	LIN37
LIN37	E2F4
CHRNG	ACTL6B
ACTL6B	CTBP1
CTBP1	CREBBP
HDAC4	HIF1A
EP300	ARNT
LMO4	PPARG
KRT31	CDK18
CDK18	HSP90AA1
KRT31	PIN1
PIN1	RELA
PIN1	RARA
EP300	RXRA
TSG101	NR3C1
NR3C1	RXRB
PPARG	RXRG
ACTL6B	APP
CDKN1A	CEBPA
TSG101	NFKB2
KRT31	SNAI1
SNAI1	EGR1
PIN1	JUN
EP300	STAT3
NR3C1	POU2F1
PIN1	YAP1
EP300	ZBTB17
KRT31	CLDN2
CLDN2	PIAS2
TSG101	DPYSL2
DPYSL2	LEF1
LMO4	ESR1
BRCA1	FLI1
HDAC4	STAT1
EP300	TFAP2A
EP300	ETS2
TSG101	SH3KBP1
SH3KBP1	SOS1
KRT31	ABI2
ABI2	SOS2
KRT31	SMARCE1
SMARCE1	RARB
HDAC4	ATXN1
ATXN1	ETV4
EP300	ETS1
EP300	CEBPB
KRT31	PSMA1
PSMA1	REL
BRCA1	ATF1
KRT31	HGS
HGS	DAZAP2
CTBP1	TCF7L2
DAZAP2	TCF7L1
LMO4	HDAC2
HDAC2	PPARD
BRCA1	ELK4
HDAC4	SRF
EP300	TCF3
TCF3	ELK3
LMO4	HDAC1
HDAC1	CREM
PIN1	SMAD3
EP300	SMAD4
PIN1	SMAD2
HDAC4	ATF3
EP300	PAX6
HGS	INSR
INSR	TEAD1
PSMA1	TRIM27
YAP1	TEAD3
LIN37	TFDP2
EP300	JUND
TSG101	NONO
NONO	SPI1
LIN37	TFDP1
APP	MYC
EP300	SP3
HDAC4	NCOR2
NCOR2	RARG
TSG101	AR
EP300	NFYB
PIN1	CDK2
CDK2	NFYC
HDAC4	RFXANK
RFXANK	RFXAP
EP300	EPAS1
TSG101	NEDD4
NEDD4	ERG
EP300	E2F1
LIN37	RBL1
HDAC1	E2F3
HSP90AA1	NR3C2
EP300	FOS
KRT31	LATS1
LATS1	WWTR1
EP300	PGR
EP300	STAT5A
NR3C1	STAT5B
ACTL6B	MED14
MED14	STAT2
JUN	STAT4
EP300	STAT6
EP300	MAPK14
MAPK14	HOXA5
EP300	FOXO3
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Mapk1
Mapk1	TP53
Rac1	Pak
Pak	OS9
OS9	CREB3
CREB3	ATF4
TP53	CREB1
Rac1	Traf6
Traf6	UBE2N
UBE2N	NBN
NBN	ATF2
OS9	ERLEC1
CREB3	CREB3L2
Rac1	Tuba1a
Tuba1a	HDAC6
HDAC6	DDIT3
DDIT3	CREB3L1
Rac1	Tnfrsf12a
Tnfrsf12a	TRAF2
TRAF2	CREB5
Traf6	ECSIT
ECSIT	RELA
RELA	PPARA
TP53	SP1
ECSIT	NFKB1
Traf6	UBE2D3
UBE2D3	BRCA1
Traf6	1-Dec
1-Dec	HDAC1
HDAC1	E2F4
Rac1	dsh
dsh	MED25
MED25	CREBBP
HDAC6	EP300
Mapk1	HIF1A
HIF1A	ARNT
dsh	MED14
MED14	PPARG
Traf6	Stub1
Stub1	HSP90AA1
Traf6	Nr0b2
Nr0b2	RARA
MED25	RXRA
