HTR2A	CBL
CBL	EGFR
EGFR	STAT3
CBL	SMAD3
SMAD3	CEBPB
CBL	GRB2
GRB2	REL
GRB2	EP300
EP300	TFAP2A
GRB2	HSP90AA1
HSP90AA1	NFIC
CBL	MAPK8
MAPK8	HSF1
CBL	YWHAZ
YWHAZ	TP53
CBL	CTNNB1
CTNNB1	CREBBP
CTNNB1	HIF1A
EP300	ARNT
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
DRD2	CALM1
CALM1	ESR1
ESR1	CEBPB
DRD2	FLNA
FLNA	REL
FLNA	LMNA
LMNA	RB1
RB1	TFAP2A
CALM1	HSP90AA1
FLNA	FILIP1
FILIP1	HSF1
FLNA	RANBP2
RANBP2	TP53
REL	CREBBP
REL	EP300
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
HSP90AA1	ARNT
TP53	CDKN1B
CREBBP	CDKN1B
EP300	CDKN1B
HIF1A	CDKN1B
ARNT	CDKN1B
HSF1	HSPA1A
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
NFIC	HSPA1A
TFAP2A	HSPA1A
