HTR1B	MDFI
MDFI	KAT5
KAT5	EP300
EP300	TFAP2A
KAT5	MYC
EP300	USF2
KAT5	BRCA1
BRCA1	ELK4
KAT5	SRF
MDFI	NAB2
NAB2	TOP1
TOP1	ELK3
KAT5	CREB1
EP300	ETS1
MDFI	PIN1
PIN1	JUN
BRCA1	FLI1
BRCA1	ATF1
EP300	ATF4
MDFI	MYOD1
MYOD1	CREBBP
MDFI	VHL
VHL	HIF1A
EP300	ARNT
EP300	ETS2
KAT5	HDAC3
HDAC3	CREB3
VHL	ELAVL1
ELAVL1	CREB3L2
MDFI	PRKAB2
PRKAB2	CREB3L1
MDFI	CREB5
PIN1	SMAD2
SMAD2	ETV4
CREB5	ATF2
KAT5	TP53
NAB2	XBP1
XBP1	ATF6B
EP300	STAT1
MYOD1	STAT3
VHL	SP1
KAT5	ESR1
EP300	EGR1
KAT5	APP
APP	ELK1
KAT5	ESR2
EP300	NFKB1
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	PDGFRB
PDGFRB	ETV6
ETV6	FLI1
S1PR1	WWP2
WWP2	POU5F1
POU5F1	ETS2
WWP2	SMAD2
WWP2	PTCH1
PTCH1	ATF6B
S1PR1	GNAI3
GNAI3	XPO1
XPO1	STAT1
S1PR1	TRIP6
TRIP6	STK16
STK16	ELK1
HTR1A	S1PR1
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
WWP2	SMAD7
SMAD7	MYC
TRIP6	POM121
POM121	BRCA1
BRCA1	USF2
XPO1	ELAVL1
ELAVL1	ELK4
SMAD7	SRF
TRIP6	RPS14
RPS14	TOP1
HTR1A	HTR1D
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS1
TRIP6	CREB5
CREB5	JUN
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
GNAI3	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
TRIP6	SRC
SRC	CREBBP
WWP2	SMAD3
SMAD3	EP300
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
SRC	HDAC3
TRIP6	PTK2
PTK2	TP53
GNAI3	GNB2
GNB2	STAT3
SMAD3	SP1
YWHAQ	ESR1
YWHAQ	PSMA3
PSMA3	EGR1
YWHAQ	ESR2
YWHAQ	E2F1
E2F1	NFKB1
CREB3	FOS
CREB1	FOS
ATF2	FOS
ATF6B	FOS
ATF4	FOS
CREB3L2	FOS
CREB3L1	FOS
CREB5	FOS
CREBBP	TFRC
EP300	TFRC
HIF1A	TFRC
ARNT	TFRC
ELK1	FOS
ELK4	FOS
SRF	FOS
NFKB1	PLAU
TP53	IGFBP3
TP53	CCNG1
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
EGR1	CD44
SP1	CD44
CREB1	CYP11A1
JUN	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	CYP11A1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
ETV4	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
FLI1	IGFBP3
SP1	IGFBP3
TFAP2A	IGFBP3
TP53	NFIC
EGR1	PLAU
ETS1	PLAU
ETS2	PLAU
SP1	PLAU
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
