PDE4A	SQSTM1
SQSTM1	YWHAZ
YWHAZ	RFWD2
RFWD2	ETV4
SQSTM1	HSPA4
HSPA4	ERG
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	MAPK1
MAPK1	SP1
SQSTM1	CUL3
CUL3	NFKB1
MAPK1	JUN
SQSTM1	PRKCZ
PRKCZ	RELA
MAPK1	CREBBP
MAPK1	EP300
SQSTM1	NTRK1
NTRK1	STAT3
SQSTM1	HIF1A
HIF1A	ARNT
SQSTM1	BAG3
BAG3	TFAP2A
SQSTM1	NCOR1
NCOR1	ETS1
MAPK1	SMAD3
SQSTM1	ISG15
ISG15	SMAD4
YWHAZ	TP53
TP53	EGR1
MAPK1	JUND
YWHAZ	ABL1
ABL1	FOS
RFWD2	JUNB
NTRK1	STAT1
YWHAZ	NFATC4
NFATC4	CEBPA
YWHAZ	CTNNB1
CTNNB1	LEF1
SQSTM1	UBC
UBC	DAZAP2
DAZAP2	TCF7
SQSTM1	FUS
FUS	TCF7L2
CTNNB1	TCF7L1
YWHAZ	TNFAIP3
TNFAIP3	NFKB2
SQSTM1	SNCA
SNCA	ELK1
YWHAZ	YWHAQ
YWHAQ	YAP1
SQSTM1	tat
tat	POU2F1
SQSTM1	BCL2
BCL2	HSP90AA1
HSP90AA1	NFIC
YWHAZ	WWTR1
WWTR1	TEAD1
SNCA	VPS52
VPS52	TEAD4
WWTR1	TEAD3
SQSTM1	PRKCD
PRKCD	FLI1
MAPK1	PPARG
BCL2	ITLN1
ITLN1	SP3
MAPK1	ESR1
MAPK1	ATF2
NCOR1	PPARA
MAPK1	CEBPB
BCL2	BRCA1
BRCA1	USF2
BCL2	MYC
PDE4B	MAGEA11
MAGEA11	EP300
EP300	TP63
TP63	ETV4
EP300	ETS2
ETS2	ERG
EP300	CREB1
EP300	SP1
EP300	NFKB1
EP300	JUN
EP300	RELA
EP300	CREBBP
EP300	STAT3
EP300	HIF1A
EP300	ARNT
EP300	TFAP2A
EP300	ETS1
EP300	SMAD3
EP300	SMAD4
EP300	EGR1
EP300	JUND
EP300	FOS
EP300	JUNB
EP300	STAT1
MAGEA11	MTA1
MTA1	CEBPA
EP300	CTNNB1
EP300	PLSCR1
PLSCR1	DAZAP2
MAGEA11	AR
AR	TCF7L2
MAGEA11	NR3C1
NR3C1	NFKB2
PDE4B	RCBTB2
RCBTB2	UBE2I
UBE2I	ELK1
SMAD3	YAP1
NR3C1	POU2F1
PDE4B	PAFAH1B1
PAFAH1B1	HSP90AA1
EP300	NCOA1
NCOA1	TEAD1
MAGEA11	TRIM27
TRIM27	TEAD4
MAGEA11	E2F1
E2F1	TEAD3
EP300	TP53
EP300	BRCA1
BRCA1	FLI1
EP300	PPARG
EP300	SP3
EP300	ESR1
EP300	ATF2
UBE2I	PPARA
EP300	CEBPB
EP300	USF2
EP300	MYC
PDE4D	GNB2L1
GNB2L1	TP63
PDE4D	APP
APP	HSPA8
HSPA8	ERG
APP	KAT5
KAT5	CREB1
APP	MAPK8
MAPK8	SP1
APP	GSK3B
GSK3B	NFKB1
PDE4D	MDM2
MDM2	JUN
MDM2	RELA
PDE4D	LYN
LYN	CREBBP
MDM2	EP300
MAPK8	STAT3
GNB2L1	HIF1A
GNB2L1	RB1
RB1	ARNT
APP	MYC
MYC	TFAP2A
APP	MAPK7
MAPK7	ETS1
GSK3B	SMAD3
APP	CSNK1D
CSNK1D	SMAD4
CREBBP	EGR1
MDM2	JUND
MAPK7	FOS
MAPK8	JUNB
PDE4D	ARRB2
ARRB2	STAT1
MAPK8	CEBPA
ARRB2	ALYREF
ALYREF	LEF1
APP	HGS
HGS	DAZAP2
APP	FBLN1
FBLN1	TCF7L2
MDM2	CTNNB1
ARRB2	NFKBIA
NFKBIA	NFKB2
APP	ELK1
APP	TAF6
TAF6	YAP1
HSPA8	POU2F1
PDE4D	ARRB1
ARRB1	HSP90AA1
HGS	INSR
INSR	TEAD1
MDM2	GOLGA2
GOLGA2	TEAD4
MDM2	E2F1
LYN	TP53
ELK1	FLI1
APP	RFX5
RFX5	PPARG
ARRB2	SFPQ
SFPQ	SP3
MDM2	ESR1
MAPK8	ATF2
APP	AKAP13
AKAP13	PPARA
GSK3B	CEBPB
PDE4C	SRI
SRI	TCF12
TCF12	SMAD2
SMAD2	ETV4
SRI	STAT3
STAT3	JUN
JUN	ERG
STAT3	EP300
STAT3	SP1
STAT3	NFKB1
STAT3	RELA
TCF12	CREBBP
STAT3	HIF1A
STAT3	PML
PML	ARNT
TCF12	SMAD3
PML	FOS
STAT3	STAT1
STAT3	CDKN1A
CDKN1A	CEBPA
STAT3	SMAD1
SMAD1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
PML	TCF7L2
PML	CTNNB1
STAT3	NFKB2
STAT3	MAPK8
MAPK8	ELK1
PML	YAP1
RELA	POU2F1
SRI	SOD1
SOD1	RFX1
RFX1	NFIC
STAT3	NCOA1
EP300	GOLGA2
YAP1	TEAD3
SRI	ANXA7
ANXA7	TP53
PML	PIAS2
PIAS2	FLI1
PML	PPARG
PML	ATF2
RELA	PPARA
PML	MYC
PGD	SUMO3
SUMO3	UBA2
UBA2	ETV4
PGD	EEF2
EEF2	HSPA8
PGD	RPS6KA1
RPS6KA1	CREB1
SUMO3	PML
PML	SP1
SUMO3	RL2
RL2	NFKB1
PML	JUN
PGD	GDI1
GDI1	RAC3
RAC3	RELA
PML	CREBBP
PGD	TALDO1
TALDO1	TP73
TP73	EP300
PGD	GNAI3
GNAI3	GNB2
GNB2	STAT3
PGD	P4HB
P4HB	VCP
VCP	HIF1A
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
SUMO3	UBE2I
UBE2I	ETS1
SUMO3	PIAS3
PIAS3	SMAD3
PIAS3	SMAD4
GNAI3	YWHAQ
YWHAQ	PSMA3
PSMA3	EGR1
RPS6KA1	MAPK1
NPM1	JUNB
GNAI3	XPO1
XPO1	STAT1
YWHAQ	CDKN1A
TALDO1	CFDP1
CFDP1	RUVBL1
RUVBL1	LEF1
GNAI2	PLSCR1
P4HB	PTN
PTN	CTNNB1
VCP	NFKB2
EEF2	XRCC6
XRCC6	POU2F1
RPS6KA1	HSP90AA1
YAP1	TEAD1
GNAI3	GNG5
GNG5	GOLGA2
YWHAQ	E2F1
P4HB	SERPINH1
SERPINH1	TP53
SUMO3	PIAS2
XPO1	PPARG
SUMO3	PIAS1
PIAS1	SP3
RPS6KA1	ESR1
ESR1	CEBPB
TP73	MYC
NFKB1	BIRC2
RELA	BIRC2
SMAD3	CDKN1A
SMAD4	CDKN1A
TP53	CDKN1A
ELK1	BIRC2
TP53	CDKN1B
CREBBP	CDKN1A
CREBBP	CDKN1B
CREBBP	ALDOA
CREBBP	PFKFB3
CREBBP	TIMP1
EP300	CDKN1A
EP300	CDKN1B
EP300	ALDOA
EP300	PFKFB3
EP300	TIMP1
HIF1A	CDKN1A
HIF1A	CDKN1B
HIF1A	ALDOA
HIF1A	PFKFB3
HIF1A	TIMP1
ARNT	CDKN1A
ARNT	CDKN1B
ARNT	ALDOA
ARNT	PFKFB3
ARNT	TIMP1
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
YAP1	BIRC2
LEF1	BIRC2
TCF7	BIRC2
TCF7L2	BIRC2
TEAD1	BIRC2
TEAD4	BIRC2
TEAD3	BIRC2
TCF7L1	BIRC2
CREB1	MITF
CREBBP	MITF
EP300	MITF
LEF1	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
NFKB1	NFKBIA
NFKB1	PTGS2
RELA	NFKBIA
RELA	PTGS2
TP53	IGFBP3
NFKB2	BIRC2
NFKB2	PTGS2
PPARA	ACSL1
PPARG	ACSL1
NFKB1	CEBPB
RELA	CEBPB
LEF1	MMP7
TCF7	MMP7
TCF7L2	MMP7
TCF7L1	MMP7
CREB1	CD55
SP1	COL4A2
SP1	COL4A1
JUN	ALDOA
SP1	ALDOA
NFKB1	B2M
USF2	B2M
HIF1A	BNIP3
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
