HTR1B	MDFI
MDFI	PIN1
PIN1	RARA
MDFI	KAT5
KAT5	CEBPA
CEBPA	RARB
MDFI	ZBTB25
ZBTB25	TNIP1
TNIP1	RARG
KAT5	EP300
EP300	STAT1
PIN1	IRF3
KAT5	TP53
EP300	NFKB1
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD2
SMAD2	RARB
S1PR1	TRIP6
TRIP6	AJUBA
AJUBA	RARG
S1PR1	GNAI3
GNAI3	XPO1
XPO1	STAT1
HTR1A	S1PR1
AJUBA	RARA
TRIP6	TRAF3IP2
TRAF3IP2	IRF3
TRIP6	PTK2
PTK2	TP53
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
GLI3	BMP2
STAT4	SOCS2
PAX6	PDX1
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
EGR1	APOA1
TFAP2A	COL1A1
EGR1	COL2A1
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
SPI1	IL1B
NFKB1	TFPI2
