DRD1	RANBP9
RANBP9	UBE2I
UBE2I	STAT1
RANBP9	APP
APP	MAPK8
MAPK8	IRF3
MAPK8	REL
RANBP9	ESR1
ESR1	HIF1A
ESR1	CREBBP
ESR1	EP300
EP300	ARNT
RANBP9	NR3C1
NR3C1	CREB1
ESR1	STAT5A
NR3C1	STAT5B
NR3C1	TRIM28
TRIM28	STAT4
EP300	EGR1
RANBP9	TP73
TP73	YAP1
ESR1	STAT3
NR3C1	NFKB1
ESR1	RELA
RANBP9	THRB
THRB	ATF2
DRD5	GNA13
GNA13	PTK2B
PTK2B	EGFR
EGFR	STAT1
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	IRF3
PTK2B	GRB2
GRB2	REL
HSP90AA1	HIF1A
GNA13	MAP3K5
MAP3K5	CREBBP
MAP3K5	EP300
HSP90AA1	ARNT
EP300	CREB1
EGFR	STAT5A
EGFR	STAT5B
GNA13	RDX
RDX	TKT
TKT	STAT4
MAP3K5	USP9X
USP9X	YAP1
HSP90AA1	STAT3
EP300	NFKB1
EP300	RELA
EP300	ATF2
DRD2	PAWR
PAWR	STAT1
DRD2	CALM1
CALM1	HSP90AA1
DRD2	FLNA
FLNA	REL
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
REL	CREBBP
REL	EP300
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
PAWR	SQSTM1
SQSTM1	STAT5A
FLNA	RBM39
RBM39	PGR
PGR	STAT5B
DRD2	KCNJ3
KCNJ3	ADRB2
ADRB2	STAT4
PPP1R9B	CDKN2A
CDKN2A	EGR1
PPP1CA	YAP1
STAT1	STAT3
REL	NFKB1
REL	RELA
FLNA	LMNA
LMNA	PML
PML	ATF2
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT1
ADRA2A	UCHL1
UCHL1	HSP90AA1
ADRA2A	GNAI2
GNAI2	NUCB1
NUCB1	REL
UCHL1	CTNNB1
CTNNB1	HIF1A
CTNNB1	CREBBP
CTNNB1	EP300
UCHL1	TP53
TP53	CREB1
GNAI2	ITCH
ITCH	ERBB4
ERBB4	STAT5A
GNAI2	PLSCR1
PLSCR1	EGFR
ITCH	JUN
JUN	STAT4
TP53	EGR1
ADRA2A	GNAO1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
MTOR	STAT3
UCHL1	COPS5
COPS5	NFKB1
GNAI2	NPM1
NPM1	RELA
GNAO1	RGS20
RGS20	RUVBL2
RUVBL2	ATF2
HTR2A	CBL
CBL	EGFR
CBL	MAPK8
CBL	GRB2
CBL	CTNNB1
GRB2	EP300
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	FHL1
FHL1	STAT4
SMAD3	YAP1
EGFR	STAT3
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
SMAD3	ATF2
NFAT5	TNF
MAPK9	SMAD4
CREB5	IL8
CREBBP	PFKFB2
CREBBP	VEGFC
EP300	PFKFB2
EP300	VEGFC
HIF1A	PFKFB2
HIF1A	BCL2
ARNT	ENO2
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
ELK1	CCT8
SP1	CD14
SP2	CD14
SP3	CD14
EGR1	CD44
SP1	CD44
ESR2	CD68
SPI1	CD68
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
