PCCB	LYPLA1
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	JUN
MAPK3	ELK4
LYPLA1	APRT
APRT	APP
APP	KAT5
KAT5	SRF
APP	CUL3
CUL3	TOP1
TOP1	ELK3
ASNS	PPP1CA
PPP1CA	CREB1
MAPK3	CREBBP
LYPLA1	DPYSL2
DPYSL2	LEF1
LEF1	EP300
APP	MCM7
MCM7	HIF1A
APRT	HECW2
HECW2	ELAVL1
ELAVL1	ARNT
APP	MYC
MAPK3	RXRA
APP	AKAP13
AKAP13	RXRB
DPYSL2	CRMP1
CRMP1	CUL1
CUL1	RXRG
DPYSL2	ARFIP1
ARFIP1	STAT3
APP	MAPK7
MAPK7	FOS
ASNS	NMD3
NMD3	STAT1
HECW2	TFAP2A
MAPK7	ETS1
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	ATF2
ARFIP1	SHMT2
SHMT2	ATF4
LEF1	CTNNB1
CTNNB1	PPARD
APP	DDX54
DDX54	ESR1
DDX54	ESR2
MAPK3	SP1
APP	RFX5
RFX5	PPARG
LEF1	SMAD2
SMAD2	ETV4
AKAP13	PPARA
APP	ELK1
MCM7	EPAS1
SHMT2	CREB3
ELAVL1	CREB3L2
CUL3	PGRMC1
PGRMC1	CREB3L1
ASNS	QARS
QARS	TRAF2
TRAF2	CREB5
EP300	USF2
HECW2	CSNK2A1
CSNK2A1	ATF1
ELK1	FLI1
LEF1	SMAD3
LEF1	SMAD4
PPP1CA	YAP1
ASNS	YWHAE
YWHAE	WWTR1
LEF1	MYB
CUL3	NXF1
NXF1	ATF6B
STAT3	NFKB2
HLCS	SNX27
SNX27	NTRK1
NTRK1	PML
PML	JUN
NTRK1	ELAVL1
ELAVL1	ELK4
SNX27	INSR
INSR	TEAD1
TEAD1	SRF
NTRK1	TOP1
NTRK1	ABL1
ABL1	CREB1
INSR	KHDRBS1
KHDRBS1	CREBBP
INSR	GRB2
GRB2	EP300
INSR	SHC1
SHC1	HIF1A
PML	ARNT
PML	MYC
PML	RXRA
INSR	STAT5A
STAT5A	PPARG
PPARG	RXRB
NTRK1	CUL1
NTRK1	STAT3
PML	FOS
NTRK1	STAT1
NTRK1	RB1
RB1	TFAP2A
NTRK1	MAPK7
INSR	SOCS3
SOCS3	NFKB1
NTRK1	RELA
PML	ATF2
RELA	ATF4
NTRK1	CTNNB1
INSR	IRS1
IRS1	ESR1
STAT5A	ESR2
INSR	PRKCD
PRKCD	SP1
NTRK1	UBA2
UBA2	ETV4
RELA	PPARA
NTRK1	MAPK1
MAPK1	ELK1
NTRK1	MCM3
MCM3	EPAS1
NTRK1	HCFC1
HCFC1	CREB3
INSR	PRKAA1
PRKAA1	PRKAB2
PRKAB2	CREB3L1
GRB2	KRT15
KRT15	CREB5
RELA	USF2
NTRK1	TTI1
TTI1	ATF1
PRKCD	FLI1
NTRK1	RPA1
RPA1	SMAD3
RELA	SMAD4
PML	YAP1
NTRK1	YWHAZ
YWHAZ	WWTR1
STAT5A	MYB
INSR	CAV1
CAV1	SMAD2
NTRK1	CDK6
CDK6	ATF6B
MCCC2	HMGCL
HMGCL	RNF126
RNF126	CDKN1A
CDKN1A	JUN
CDKN1A	MAPK8
MAPK8	ELK4
HMGCL	ARL6IP1
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	SRF
HMGCL	LSM12
LSM12	THP2
THP2	TOP1
HMGCL	HES1
HES1	SIRT1
SIRT1	CREB1
HES1	PARP1
PARP1	CREBBP
CDKN1A	EP300
HES1	STAT3
STAT3	HIF1A
HES1	HSP90AA1
HSP90AA1	ARNT
ARL6IP1	FBXW7
FBXW7	MYC
NCOR2	RXRA
LSM12	HSP82
HSP82	NR3C1
NR3C1	RXRB
NCOR2	RXRG
HES1	RUNX2
RUNX2	FOS
RNF126	EGFR
EGFR	STAT1
MYC	TFAP2A
ARL6IP1	SENP2
SENP2	DAXX
DAXX	ETS1
STAT3	NFKB1
RNF126	UBE2D2
UBE2D2	RELA
HES1	TLE1
TLE1	ATF2
ARL6IP1	GORASP2
GORASP2	SHMT2
HSP90AA1	PPARD
CDKN1A	ESR1
NCOR2	ESR2
STAT3	SP1
NCOR2	PPARG
LSM12	SSB2
SSB2	UBA2
HSP90AA1	PPARA
GORASP2	APP
HSP90AA1	EPAS1
HMGCL	DNAJA1
DNAJA1	ERG
ERG	ELAVL1
ARL6IP1	PAM16
PAM16	PGRMC1
EGFR	TRAF2
HSP82	ATF1
ARL6IP1	DIABLO
DIABLO	PRKCD
RUNX2	SMAD3
RNF126	SKP2
SKP2	SMAD4
FBXW7	YAP1
FBXW7	MED28
MED28	WWTR1
FBXW7	MYB
FBXW7	CDK2
CDK2	SMAD2
HSP82	XBP1
XBP1	ATF6B
FBXW7	NFKB2
PC	RPS3A
RPS3A	DDIT3
DDIT3	JUN
PC	KPNA4
KPNA4	APP
PC	CAD
CAD	SMARCA4
SMARCA4	SRF
KPNA4	TP53
TP53	TOP1
KPNA4	DAXX
DAXX	CREB1
DAXX	CREBBP
TP53	EP300
TP53	HIF1A
RPS3A	HSP90AA1
GSK3B	RXRA
TP53	NR4A1
NR4A1	RXRG
PC	PFAS
PFAS	CAPN1
CAPN1	STAT3
PC	MDH2
MDH2	UBE2L3
UBE2L3	FOS
PC	FASN
FASN	AHSA1
AHSA1	STAT1
TP53	TFAP2A
KPNA4	CUL4B
CUL4B	NFKB1
TP53	RELA
DDIT3	ATF2
DDIT3	ATF4
TP53	ESR1
TP53	SP1
PC	COPB1
COPB1	XRCC6
XRCC6	PPARG
DAXX	TP63
TP63	ETV4
RPS3A	VHL
VHL	EPAS1
DDIT3	CREB3
CUL4B	ELAVL1
DDIT3	CREB3L1
TP53	BRCA1
BRCA1	CREB5
CREBBP	ATF1
TP53	SMAD3
DAXX	SMAD4
UBE2L3	YAP1
APP	YWHAG
YWHAG	WWTR1
KAT5	MYB
TP53	SMAD2
TP53	NFYA
NFYA	ATF6B
DAXX	TSG101
TSG101	NFKB2
PCCA	PCCB
ACACA	BRCA1
BRCA1	JUN
BRCA1	ELK4
BRCA1	CREBBP
CREBBP	SRF
BRCA1	EP300
EP300	TCF3
TCF3	ELK3
BRCA1	CREB1
BRCA1	HIF1A
BRCA1	ARNT
BRCA1	MYC
EP300	RXRA
EP300	NR3C1
BRCA1	RPAP2
RPAP2	RXRG
EP300	STAT3
EP300	FOS
BRCA1	STAT1
BRCA1	TFAP2A
BRCA1	ETS1
EP300	NFKB1
BRCA1	RELA
EP300	ATF2
EP300	ATF4
BRCA1	CTNNB1
BRCA1	ESR1
BRCA1	MSH2
MSH2	ESR2
BRCA1	SP1
EP300	PPARG
BRCA1	TP63
BRCA1	UBE2I
UBE2I	PPARA
CREBBP	ELK1
EP300	EPAS1
JUN	CREB3
CTNNB1	ELAVL1
EP300	DDIT3
BRCA1	USF2
BRCA1	ATF1
BRCA1	FLI1
BRCA1	SMAD3
EP300	SMAD4
SMAD3	YAP1
BRCA1	YWHAZ
EP300	MYB
EP300	SMAD2
BRCA1	NFYA
RELA	NFKB2
CREB3	FOS
CREB1	FOS
ATF2	FOS
ATF6B	FOS
ATF4	FOS
CREB3L2	FOS
CREB3L1	FOS
CREB5	FOS
NFKB1	BCL2L1
RELA	BCL2L1
CREB1	PER3
CREBBP	EGF
CREBBP	HK1
CREBBP	SERPINE1
CREBBP	TFRC
CREBBP	VEGFB
EP300	EGF
EP300	HK1
EP300	SERPINE1
EP300	TFRC
EP300	VEGFB
HIF1A	EGF
HIF1A	HK1
HIF1A	SERPINE1
HIF1A	TFRC
HIF1A	VEGFB
ARNT	EGF
ARNT	HK1
ARNT	SERPINE1
ARNT	TFRC
ARNT	VEGFB
YAP1	CTGF
YAP1	SERPINE1
WWTR1	CTGF
WWTR1	SERPINE1
SMAD2	CTGF
SMAD2	SERPINE1
SMAD3	CTGF
SMAD3	SERPINE1
SMAD4	CTGF
SMAD4	SERPINE1
ELK1	FOS
ELK4	FOS
SRF	FOS
NFKB1	PTGS2
RELA	PTGS2
NFKB1	VEGFB
RELA	VEGFB
STAT1	VEGFB
STAT3	VEGFB
EPAS1	VEGFB
ETS1	VEGFB
FOS	VEGFB
JUN	VEGFB
MYC	VEGFB
NFKB2	PTGS2
NFKB2	BCL2L1
PPARA	ACSL3
PPARA	APOA2
PPARD	ILK
PPARG	ACSL3
RXRA	ACSL3
RXRA	APOA2
RXRA	ILK
RXRB	ACSL3
RXRB	APOA2
RXRB	ILK
RXRG	ACSL3
RXRG	APOA2
RXRG	ILK
ELK1	EGR1
USF2	APOA2
SP1	CTGF
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETV4	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
FOS	NQO1
MYC	NRAS
CREB1	NRAS
JUN	NRAS
MYB	NRAS
TFAP2A	NRAS
ATF1	PTGS2
ATF2	PTGS2
ATF4	PTGS2
CREB1	PTGS2
ETV4	PTGS2
PPARG	PTGS2
TFAP2A	PTGS2
USF2	PTGS2
EPAS1	SERPINE1
ESR1	SERPINE1
ESR2	SERPINE1
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
USF2	SERPINE1
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
SP1	TTR
JUN	TXN
