HTR2A	CBL
CBL	ABL1
ABL1	CREB1
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	GRB2
GRB2	TSG101
TSG101	NFKB2
CBL	SMAD3
SMAD3	JUN
CBL	YWHAZ
YWHAZ	TP53
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	FLNA
FLNA	REL
REL	NFKB1
REL	RELA
REL	NFKB2
FLNA	RBM39
RBM39	JUN
FLNA	RANBP2
RANBP2	TP53
GRIA2	GRIP1
GRIP1	CREBBP
CREBBP	CREB1
GRIP1	HDAC1
HDAC1	NFKB1
CREBBP	RELA
GRIA2	SDCBP
SDCBP	SIAH1
SIAH1	STAT3
STAT3	NFKB2
SDCBP	MBD3
MBD3	JUN
SDCBP	TRIM32
TRIM32	TP53
GRIA3	GRIP1
GRIA3	SDCBP
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7L2	MYC
STAT5A	SOCS4
STAT5A	SOCS7
STAT5A	CCND1
STAT5B	SOCS7
STAT5B	SOCS5
STAT6	SOCS4
STAT6	MYC
CREBBP	MITF
TP53	RRM2B
RXRB	GK2
RXRB	MMP1
NFKB1	COL1A1
RELA	COL1A1
PAX2	TP53
PAX8	TP53
STAT3	TRH
SMAD3	ZFP36
