HTR1B	MDFI
MDFI	KAT5
KAT5	MYC
KAT5	TP53
MDFI	VHL
VHL	SP1
VHL	HSPA8
HSPA8	ERG
MDFI	PIN1
PIN1	SMAD2
SMAD2	ETV4
KAT5	EP300
EP300	SMAD7
EP300	FOS
KAT5	BRCA1
BRCA1	POU2F1
KAT5	RUVBL1
RUVBL1	LEF1
EP300	NFKB1
KAT5	CREB1
VHL	HSP90AA1
HSP90AA1	NFIC
EP300	ETS1
KAT5	ESR1
MDFI	CREB5
CREB5	JUND
PIN1	JUN
VHL	HIF1A
VHL	UBC
UBC	DAZAP2
DAZAP2	TCF7
KAT5	UBE2I
UBE2I	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
MDFI	NAB2
NAB2	YAP1
YAP1	TEAD1
MDFI	PRKAB2
PRKAB2	GOLGA2
GOLGA2	TEAD4
MDFI	PIDD1
PIDD1	TEAD3
EP300	TFAP2A
EP300	ETS2
MDFI	MYOD1
MYOD1	STAT3
MYOD1	CREBBP
EP300	ARNT
BRCA1	FLI1
KAT5	APP
APP	ELK1
BRCA1	PAX2
KAT5	RELA
EP300	STAT1
EP300	EGR1
KAT5	MYB
BRCA1	E2F4
HSP90AA1	NR3C2
EP300	USF2
KAT5	BCL3
BCL3	NFKB2
EP300	SP3
UBE2I	PPARA
MDFI	NR1H2
NR1H2	RXRA
NR1H2	RXRB
NR1H2	RXRG
KAT5	YWHAG
YWHAG	WWTR1
EP300	STAT5A
KAT5	NR3C1
NR3C1	STAT5B
EP300	STAT2
VHL	TRIM28
TRIM28	STAT4
EP300	STAT6
PIN1	RARA
UBE2I	WT1
KAT5	CEBPA
KAT5	GADD45G
GADD45G	PPARD
EP300	PAX6
PIN1	SMAD3
EP300	SMAD4
NR3C1	POU2F2
MDFI	AASDHPPT
AASDHPPT	PLCG1
PLCG1	SOS1
ESR1	SOS2
KAT5	E2F1
E2F1	SP4
CREB5	ATF2
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD2
WWP2	SMAD7
WWP2	SMAD3
SMAD3	FOS
SMAD3	LEF1
WWP2	UBC
SMAD7	TCF7L2
S1PR1	TRIP6
TRIP6	PYGO2
PYGO2	CTNNB1
WWP2	POU5F1
POU5F1	ETS2
S1PR1	PDGFRB
PDGFRB	ETV6
ETV6	FLI1
TRIP6	STK16
STK16	ELK1
S1PR1	GNAI3
GNAI3	XPO1
XPO1	STAT1
XPO1	E2F4
PDGFRB	SHC1
SHC1	STAT5A
SHC1	STAT5B
SMAD3	PAX6
SMAD3	SMAD4
TRIP6	NCK2
NCK2	SOS1
TRIP6	ABI2
ABI2	SOS2
HTR1A	S1PR1
SMAD7	MYC
TRIP6	PTK2
PTK2	TP53
SMAD3	SP1
GNAI3	YWHAQ
YWHAQ	HSPA8
YWHAQ	LMNB1
LMNB1	POU2F1
YWHAQ	E2F1
E2F1	NFKB1
HTR1A	HTR1D
YWHAQ	SMURF1
SMURF1	NFIC
YWHAQ	NCOA3
NCOA3	ETS1
YWHAQ	ESR1
TRIP6	CREB5
CREB5	JUN
SMAD3	HIF1A
YWHAQ	YAP1
GNAI3	GNG5
GNG5	GOLGA2
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
GNAI3	GNB2
GNB2	STAT3
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
YWHAQ	NCOA1
NCOA1	ARNT
TRIP6	POM121
POM121	BRCA1
TRIP6	UBE2C
UBE2C	RELA
YWHAQ	PSMA3
PSMA3	EGR1
GNAI3	OSBP
OSBP	CAND1
CAND1	NR3C2
BRCA1	USF2
GNAI3	RAP1GAP
RAP1GAP	BTRC
BTRC	NFKB2
ESR1	SP3
NCOA1	PPARA
SRC	RXRA
TRIP6	AJUBA
AJUBA	RXRG
YWHAQ	YWHAZ
YWHAZ	WWTR1
YWHAQ	HSPB1
HSPB1	STAT2
YWHAQ	TRIM28
YWHAQ	EEF1A1
EEF1A1	STAT6
AJUBA	RARA
YWHAQ	WTAP
WTAP	WT1
SMAD3	CEBPA
GNAI3	CAPNS1
CAPNS1	PPARGC1A
PPARGC1A	PPARD
GNB2	TBP
TBP	POU2F2
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
CREB1	FOSB
ATF2	FOSB
NR3C2	ATP1B1
NFKB1	BIRC2
