CHRM1	GPRASP2
GPRASP2	AGO1
AGO1	RELA
GPRASP2	TRIM32
TRIM32	UBC
UBC	ATF6
GPRASP2	TXN
TXN	NFKB1
TXN	TP53
GPRASP2	AGO2
AGO2	HSP90AA1
HSP90AA1	PPARA
GPRASP2	LRIF1
LRIF1	PPARG
HSP90AA1	PPARD
TRIM32	RARA
LRIF1	ESR1
GPRASP2	RPS6KA5
RPS6KA5	CREB1
CHRM2	SET
SET	CCNB1
CCNB1	RELA
CHRM2	Set
Set	Mib2
Mib2	UBC
SET	NR3C1
NR3C1	NFKB1
SET	TP53
SET	APP
APP	AKAP13
AKAP13	PPARA
NR3C1	PPARG
NR3C1	NCOR2
NCOR2	PPARD
APP	PHF8
PHF8	RARA
TP53	ESR1
NR3C1	CREB1
CHRM3	SET
APP	SYVN1
SYVN1	ATF6
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
GLI3	BMP2
STAT4	SOCS2
STAT5B	SOCS1
RXRB	MMP1
NFYC	HLA-DOB
TP53	ABCB1
E2F1	APAF1
TP53	APCS
SP1	APEX1
USF1	APEX1
EGR1	APOA1
RELA	IL2
POU2F2	MYC
NFKB1	TFPI2
