PDE4A	SQSTM1
SQSTM1	MAPK1
MAPK1	SP1
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	NCOR1
NCOR1	PPARD
MAPK1	ESR1
MAPK1	RXRA
SQSTM1	RARA
RARA	RXRB
SQSTM1	CUL1
CUL1	RXRG
PDE4B	MAGEA11
MAGEA11	EP300
EP300	SP1
EP300	CREB1
PDE4B	PAFAH1B1
PAFAH1B1	HSP90AA1
HSP90AA1	PPARD
EP300	ESR1
EP300	RXRA
MAGEA11	NR3C1
NR3C1	RXRB
EP300	PPARG
PPARG	RXRG
PDE4D	APP
APP	MAPK8
MAPK8	SP1
APP	KAT5
KAT5	CREB1
PDE4D	ARRB2
ARRB2	HDAC2
HDAC2	PPARD
PDE4D	MDM2
MDM2	ESR1
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MDM2	CUL1
PDE4C	SRI
SRI	STAT3
STAT3	SP1
STAT3	EP300
STAT3	HDAC2
STAT3	PML
PML	RXRA
PML	PPARG
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
PGD	SUMO3
SUMO3	PML
PML	SP1
PGD	RPS6KA1
RPS6KA1	CREB1
RPS6KA1	HSP90AA1
RPS6KA1	ESR1
PGD	GNAI3
GNAI3	XPO1
XPO1	PPARG
CREB1	FOSB
PPARD	ILK
PPARD	ACOX2
RXRA	ILK
RXRA	ACOX2
RXRB	ILK
RXRB	ACOX2
RXRG	ILK
RXRG	ACOX2
CREB1	GSTP1
ESR1	HSPB1
SP1	HSPB1
