ADRA1B	AP2M1
AP2M1	BCR
BCR	TP53
AP2M1	PER1
PER1	GAS1
GAS1	ATF1
AP2M1	CSNK2B
CSNK2B	MYC
AP2M1	CLTC
CLTC	EP300
EP300	CREB1
EP300	NFKB1
EP300	STAT3
AP2M1	HSPA8
HSPA8	POU2F1
POU2F1	SP4
AP2M1	RALBP1
RALBP1	AMOTL2
AMOTL2	YAP1
EP300	HIF1A
AP2M1	APC
APC	CREBBP
EP300	ARNT
HSPA8	RELA
AP2M1	AP1G1
AP1G1	JUN
ADRA1D	DTNA
DTNA	NMT1
NMT1	TP53
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
CREBBP	ATF1
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
RELA	STAT3
RELA	POU2F1
AMFR	UBE2D1
UBE2D1	YAP1
RELA	HIF1A
DTNA	ACTB
ACTB	EP300
RELA	JUN
ADRA2A	UCHL1
UCHL1	TP53
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	BRCA1
BRCA1	ATF1
UCHL1	CDK4
CDK4	MYC
TP53	CREB1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
UCHL1	HSPA8
ADRA2A	GNAO1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
UCHL1	CTNNB1
CTNNB1	HIF1A
CTNNB1	CREBBP
CTNNB1	EP300
UCHL1	HSP90AA1
HSP90AA1	ARNT
NPM1	RELA
GNAI2	ITCH
ITCH	JUN
ADRA2B	UCHL1
CTNNB1	BRCA1
HSP90AA1	STAT3
ADRA2B	EIF2B1
EIF2B1	GCD2
GCD2	TSA1
TSA1	YAP1
TP53	RELA
UCHL1	UBE2I
UBE2I	JUN
ADRA2C	UCHL1
ADRA2C	EIF2B1
ADRB1	ARRB2
ARRB2	IGF1R
IGF1R	TP53
ARRB2	CSNK2A1
CSNK2A1	ATF1
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	AKT1
AKT1	CREB1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	YWHAQ
YWHAQ	E2F1
E2F1	SP4
YWHAQ	YAP1
CAPN1	HIF1A
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ADRB1	ARRB1
ARRB1	HSP90AA1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	MAP2K4
MAP2K4	JUN
ADRB2	TSG101
TSG101	TP53
ADRB2	ARRB2
ADRB2	VHL
VHL	MYC
ADRB2	MAPK14
MAPK14	CREB1
ADRB2	STAT3
STAT3	NFKB1
ADRB2	LMNB1
LMNB1	POU2F1
ADRB2	SLC9A3R1
SLC9A3R1	YAP1
STAT3	HIF1A
ADRB2	REL
REL	CREBBP
STAT3	EP300
STAT3	PML
PML	ARNT
STAT3	RELA
STAT3	JUN
ADRB3	SRC
SRC	TP53
SRC	CREBBP
CREBBP	MYC
CREBBP	CREB1
SRC	STAT3
SRC	ESR1
ESR1	E2F1
SRC	ENO1
ENO1	YAP1
TP53	GADD45G
JUN	CCND1
MYC	CCND1
CREBBP	ENO2
CREBBP	HK1
EP300	ENO2
EP300	HK1
HIF1A	ENO2
HIF1A	HK1
ARNT	ENO2
ARNT	HK1
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
YAP1	ID3
YAP1	CCND1
STAT3	CCND1
NFKB1	CCND1
RELA	CCND1
CREB1	ATP1A1
CREB1	CCND1
SP4	CCND1
TP53	CCND1
ATF1	CGA
CREB1	CGA
MYC	NME1
TP53	NME1
TP53	PLK1
ATF1	PPP2R4
NFKB1	PPP2R4
