PCCB	LYPLA1
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	SP1
LYPLA1	APRT
APRT	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
MAPK3	JUN
LYPLA1	DPYSL2
DPYSL2	LEF1
LEF1	EP300
EP300	USF2
APP	AKAP13
AKAP13	PPARA
APP	RFX5
RFX5	PPARG
LEF1	CTNNB1
CTNNB1	PPARD
LEF1	SMAD4
ASNS	PPP1CA
PPP1CA	YAP1
MAPK3	RXRA
AKAP13	RXRB
DPYSL2	CRMP1
CRMP1	CUL1
CUL1	RXRG
APP	MCM7
MCM7	HIF1A
EP300	EGR1
MAPK3	CREBBP
APRT	HECW2
HECW2	ELAVL1
ELAVL1	ARNT
GSK3B	SMAD1
HECW2	SMAD5
LEF1	SMAD3
SMAD3	SMAD9
APP	STUB1
STUB1	FOXO1
DPYSL2	NUMB
NUMB	TP53
APP	DDX54
DDX54	ESR1
APP	MYC
DPYSL2	ARFIP1
ARFIP1	STAT3
STAT3	NFKB2
APP	MAPK7
MAPK7	ETS1
SMAD3	E2F4
ELAVL1	NFIC
PPP1CA	CREB1
HECW2	TFAP2A
LEF1	E2F1
E2F1	SP4
MCM7	EPAS1
HECW2	MECP2
MECP2	SP3
HLCS	SNX27
SNX27	INSR
INSR	PRKCD
PRKCD	SP1
INSR	SOCS3
SOCS3	NFKB1
SNX27	NTRK1
NTRK1	RELA
NTRK1	PML
PML	JUN
RELA	USF2
RELA	PPARA
INSR	STAT5A
STAT5A	PPARG
NTRK1	CTNNB1
RELA	SMAD4
PML	YAP1
PML	RXRA
PPARG	RXRB
NTRK1	CUL1
INSR	SHC1
SHC1	HIF1A
NTRK1	PSMA3
PSMA3	EGR1
INSR	KHDRBS1
KHDRBS1	CREBBP
INSR	GRB2
GRB2	EP300
PML	ARNT
NTRK1	STAT3
STAT3	SMAD1
NTRK1	EPN1
EPN1	SMAD5
INSR	SYNCRIP
SYNCRIP	HMGA2
HMGA2	SMAD9
PML	FOXO1
INSR	SOCS1
SOCS1	TP53
INSR	IRS1
IRS1	ESR1
PML	MYC
NTRK1	MAPK7
PML	E2F4
NTRK1	HSP90AA1
HSP90AA1	NFIC
NTRK1	ABL1
ABL1	CREB1
NTRK1	RB1
RB1	TFAP2A
RB1	E2F1
NTRK1	MCM3
MCM3	EPAS1
RELA	SP3
MCCC2	HMGCL
HMGCL	HES1
HES1	STAT3
STAT3	SP1
STAT3	NFKB1
HMGCL	RNF126
RNF126	UBE2D2
UBE2D2	RELA
RNF126	CDKN1A
CDKN1A	JUN
CDKN1A	EP300
HES1	HSP90AA1
HSP90AA1	PPARA
HMGCL	ARL6IP1
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	PPARG
HSP90AA1	PPARD
RNF126	SKP2
SKP2	SMAD4
ARL6IP1	FBXW7
FBXW7	YAP1
NCOR2	RXRA
HMGCL	LSM12
LSM12	HSP82
HSP82	NR3C1
NR3C1	RXRB
NCOR2	RXRG
STAT3	HIF1A
ARL6IP1	GOLPH3
GOLPH3	PFDN5
PFDN5	EGR1
HES1	PARP1
PARP1	CREBBP
HSP90AA1	ARNT
YAP1	SMAD5
FBXW7	NOTCH1
NOTCH1	SMAD9
SKP2	FOXO1
CDKN1A	TP53
CDKN1A	ESR1
FBXW7	MYC
FBXW7	NFKB2
ARL6IP1	SENP2
SENP2	DAXX
DAXX	ETS1
NCOR2	E2F4
HES1	SIRT1
SIRT1	CREB1
MYC	TFAP2A
SKP2	E2F1
HSP90AA1	EPAS1
EP300	SP3
PC	KPNA4
KPNA4	TP53
TP53	SP1
KPNA4	CUL4B
CUL4B	NFKB1
TP53	RELA
PC	RPS3A
RPS3A	DDIT3
DDIT3	JUN
TP53	EP300
RPS3A	HSP90AA1
PC	COPB1
COPB1	XRCC6
XRCC6	PPARG
KPNA4	DAXX
DAXX	SMAD4
PC	MDH2
MDH2	UBE2L3
UBE2L3	YAP1
KPNA4	APP
GSK3B	RXRA
TP53	NR4A1
NR4A1	RXRG
TP53	HIF1A
TP53	EGR1
DAXX	CREBBP
TP53	SMAD1
SMAD4	SMAD5
SMAD4	SMAD9
RPS3A	PARP1
PARP1	FOXO1
TP53	ESR1
DAXX	TSG101
TSG101	NFKB2
PC	CAD
CAD	XPO1
XPO1	E2F4
DAXX	CREB1
TP53	TFAP2A
XRCC6	POU2F1
POU2F1	SP4
RPS3A	VHL
VHL	EPAS1
CREBBP	SP3
PCCA	PCCB
ACACA	BRCA1
BRCA1	SP1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
BRCA1	JUN
BRCA1	USF2
BRCA1	UBE2I
UBE2I	PPARA
EP300	PPARG
BRCA1	CTNNB1
EP300	SMAD4
BRCA1	SMAD3
SMAD3	YAP1
EP300	RXRA
EP300	NR3C1
BRCA1	RPAP2
RPAP2	RXRG
BRCA1	HIF1A
BRCA1	CREBBP
BRCA1	ARNT
EP300	SMAD1
EP300	SMAD5
EP300	FOXO1
BRCA1	TP53
BRCA1	ESR1
BRCA1	MYC
RELA	NFKB2
BRCA1	ETS1
BRCA1	E2F4
BRCA1	HSP90AA1
BRCA1	CREB1
BRCA1	TFAP2A
BRCA1	E2F1
EP300	EPAS1
TP53	GADD45B
ZBTB17	CDKN2B
ARNTL	BHLHE40
EGR3	FASLG
SMAD3	MYC
CREBBP	FIGF
CREBBP	HK1
EP300	FIGF
EP300	HK1
HIF1A	FIGF
HIF1A	HK1
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	EGF
ARNT	ENO1
ARNT	LTBR
ARNT	NOS3
ARNT	PFKFB3
ARNT	PFKL
ARNT	PGK1
LEF1	BIRC2
STAT4	SOCS3
STAT5B	SOCS7
STAT5B	CCND3
HNF1A	HNF4G
RELA	CCL4L2
RELA	CCL4L1
PIK3CB	AKT1
PIK3R2	AKT1
RBPJL	HES5
RBPJ	HES1
TP53	IGFBP3
TP53	GTSE1
TP53	RPRM
TP53	BAI1
EPAS1	TGFB1
EPAS1	VEGFB
FOS	VEGFB
HIF1A	PDGFB
MYC	CDK4
NFKB2	BIRC7
RELA	NOS2
PIAS2	CDKN2B
CREB3L1	MCL1
PPARA	FABP1
PPARA	ACSL3
PPARA	HMGCS2
PPARD	UCP1
PPARG	ACSL4
PPARG	ACSL6
PPARG	MMP1
RXRA	ACSL3
RXRA	ME1
RXRA	OLR1
RXRA	PCK1
RXRA	ANGPTL4
RXRG	EHHADH
IRF7	IFNA8
MAPK9	TNF
MAPK10	IL1A
MAPK13	IL18
MAPK13	IL23A
RELA	CEBPB
RELA	IL1A
RELA	IL18
RELA	IL23A
RFX5	HLA-DRB3
RFX5	HLA-DRB4
RFXAP	HLA-DMB
NFATC4	PTGS2
LEF1	FOSL1
TCF7	MMP7
TCF7	PPARD
TCF7	FOSL1
TCF7L2	JUN
ETV4	PLAUR
NFIC	ADA
SP1	ADA
ESR1	APOE
JUN	CYP11A1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
ESR1	HSPB1
SP1	HSPB1
CREM	ICAM1
NFKB1	ICAM1
CEBPB	IL5
ETS1	IL5
ETS2	IL5
JUND	IL5
POU2F1	IL5
POU2F2	IL5
SPI1	IL5
ATF1	IL6
TFAP2A	ITGA2
HIF1A	ITGB2
E2F1	MYB
SP3	TNF
SPI1	TNF
E2F4	TOP1
