HTR2A	CBL
CBL	SMAD7
CBL	CTNNB1
CTNNB1	SP1
CBL	ABL1
ABL1	CREB1
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
EP300	ETS1
CBL	HSPA4
HSPA4	NFKB1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	SMAD7
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	FLNA
FLNA	LMNA
LMNA	RB1
RB1	TFAP2A
FLNA	REL
REL	EP300
REL	NFKB1
GRIA2	GRIP1
GRIP1	HDAC1
HDAC1	SMAD7
GRIP1	CTNNB1
GRIP1	CREBBP
CREBBP	CREB1
GRIA2	SDCBP
SDCBP	KCTD1
KCTD1	TFAP2A
GRIA2	RAB11A
RAB11A	TDP2
TDP2	ETS1
HDAC1	NFKB1
GRIA3	GRIP1
GRIA3	SDCBP
CREBBP	ETS1
CREB1	PER3
CREB1	HMOX1
ETS1	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
TFAP2A	HMOX1
ETS1	PRL
SP1	TAF7
TFAP2A	TAF7
